Time,BNO055_ARX,BNO055_ARY,BNO055_ARZ,BNO055_AX,BNO055_AY,BNO055_AZ,BNO055_GX,BNO055_GY,BNO055_GZ,BNO055_MX,BNO055_MY,BNO055_MZ,BNO055_Q0,BNO055_Q1,BNO055_Q2,BNO055_Q3,MPU9250_AX,MPU9250_AY,MPU9250_AZ,MPU9250_GX,MPU9250_GY,MPU9250_GZ,MPU9250_MX,MPU9250_MY,MPU9250_MZ
2024-06-02 15:43:53.0,4.20760,5.40150,6.36455,2.13570,-3.72551,-8.30339,-15.50293,-7.38525,-13.36670,676,-263,-393,4855,13298,-7713,2921,2.03993,-4.04635,-9.56757,-38.87939,20.99609,-26.00098,256,3,-107
2024-06-02 15:43:53.1,6.02444,4.01960,6.38622,3.54354,-5.11420,-7.38398,-15.50293,-8.30078,-11.90186,362,-546,67,4302,13519,-7738,2697,3.69678,-4.99448,-7.70482,-21.78955,31.67725,-0.48828,256,3,-109
2024-06-02 15:43:53.2,5.00294,2.48833,6.53058,3.95536,-3.69678,-6.67527,-16.60156,-9.27734,-10.31494,-46,-116,-11,4029,13608,-7775,2562,3.81171,-3.86917,-7.32173,6.16455,6.95801,-0.79346,256,3,-109
2024-06-02 15:43:53.3,4.28586,5.98659,6.10937,1.12053,-4.40549,-8.41831,-16.29639,-8.30078,-11.10840,-433,641,115,4369,13473,-7800,2644,0.11971,-5.43982,-9.09829,28.19824,-41.19873,12.81738,256,7,-109
2024-06-02 15:43:53.4,4.93263,6.51881,4.69902,0.79490,-5.28659,-7.76707,-15.13672,-8.66699,-12.20703,-257,418,-290,4866,13284,-7733,2914,0.98166,-4.54915,-9.39039,12.57324,-12.81738,-28.93066,253,2,-103
2024-06-02 15:43:53.5,5.13161,5.84723,5.53468,2.09740,-4.64492,-8.07354,-15.50293,-7.87354,-13.85498,-191,-40,-329,5119,13416,-7405,2718,1.93937,-5.03758,-8.64817,8.54492,1.83105,-14.22119,255,0,-104
2024-06-02 15:43:53.6,3.99969,4.14846,3.27799,1.34080,-3.68720,-5.34405,-14.40430,-7.87354,-13.36670,-393,-239,-219,5252,13456,-7317,2500,1.17320,-4.45337,-6.36402,33.32520,24.53613,-19.34814,256,4,-106
2024-06-02 15:43:53.7,8.92918,6.51489,5.05521,3.46693,-7.39356,-9.00252,-14.40430,-8.66699,-12.93945,-6,-206,-529,5562,13452,-7261,1957,3.25144,-6.81893,-9.73038,-1.09863,12.69531,-32.89795,257,2,-103
2024-06-02 15:43:53.8,7.76420,7.20520,3.12402,1.26418,-7.71918,-7.79580,-14.83154,-8.30078,-13.85498,468,-75,371,5440,13444,-7345,2036,1.61375,-6.93386,-8.25550,-40.89355,6.77490,9.27734,258,3,-105
2024-06-02 15:43:53.9,5.01255,6.01689,4.08687,1.13010,-5.39193,-6.90512,-15.50293,-7.87354,-14.52637,955,609,324,4792,13673,-7184,2627,1.00560,-6.10543,-7.68087,-53.16162,-38.75732,20.75195,256,4,-106
2024-06-02 15:43:54.0,3.57406,7.11586,4.90693,0.40224,-4.98969,-7.90115,-13.36670,-9.64355,-12.93945,649,690,541,4496,13557,-7233,3479,0.17718,-5.26264,-9.21801,-37.71973,-38.63525,33.87451,258,1,-105
2024-06-02 15:43:54.1,4.57526,6.26883,5.15858,1.50361,-5.91868,-7.03920,-13.67188,-9.76562,-13.36670,357,337,800,4133,13318,-7526,4166,1.61375,-6.32571,-7.73355,-17.88330,-18.67676,48.09570,258,4,-105
2024-06-02 15:43:54.2,4.84034,5.54586,5.19320,1.80050,-6.08149,-6.39754,-13.36670,-10.13184,-14.16016,-119,334,870,3978,12942,-7987,4618,1.81008,-6.17726,-7.51806,9.21631,-16.11328,54.68750,258,0,-104
2024-06-02 15:43:54.3,4.70707,7.05418,4.65274,0.21070,-6.46458,-7.19244,-14.83154,-8.66699,-13.73291,-121,131,243,4094,12635,-8346,4729,4.48689,-1.09179,-2.23148,6.77490,-8.60596,11.59668,258,1,-102
2024-06-02 15:43:54.4,8.29780,8.54749,3.99155,-0.22027,-10.39121,-7.05836,-14.83154,-7.56836,-14.16016,349,-385,285,4089,12527,-8453,4831,1.00081,-9.99854,-7.82453,-28.25928,23.25439,5.61523,254,2,-105
2024-06-02 15:43:54.5,5.42827,2.59974,5.25243,3.60101,-6.06233,-3.75424,-15.13672,-7.20215,-14.16016,1101,89,340,3276,12778,-8168,5263,3.09342,-6.82372,-3.83565,-59.08203,-8.36182,24.41406,259,4,-106
2024-06-02 15:43:54.6,3.21738,6.38534,4.57016,-0.13408,-5.76544,-6.22515,-14.83154,-9.03320,-12.20703,-307,410,334,3123,12511,-8419,5592,-0.48365,-7.03442,-6.62260,18.67676,-24.35303,18.43262,257,2,-107
2024-06-02 15:43:54.7,6.81959,5.74818,4.21789,1.15883,-8.85886,-4.18521,-14.34326,-9.03320,-13.06152,548,480,-158,3255,12390,-8259,6010,1.63769,-10.37684,-5.47813,-33.38623,-29.05273,-6.22559,258,1,-104
2024-06-02 15:43:54.8,5.17731,5.14769,3.59044,0.66082,-7.31694,-3.49566,-13.91602,-9.46045,-13.42773,532,135,370,2941,12308,-8143,6479,0.60336,-7.75749,-4.72153,-23.74268,-1.46484,22.82715,260,1,-103
2024-06-02 15:43:54.9,4.50955,6.52774,5.09258,0.62251,-7.47018,-5.71756,-13.54980,-10.49805,-12.75635,-418,-322,-180,2859,12327,-8286,6297,0.91462,-9.51011,-7.27384,26.30615,21.36230,-13.24463,259,4,-109
2024-06-02 15:43:55.0,5.61362,6.91443,5.17202,0.46928,-8.82055,-5.29616,-13.91602,-9.03320,-13.42773,863,-607,-154,2451,12599,-8166,6083,0.84758,-8.82534,-6.15811,-52.18506,37.53662,-14.52637,261,5,-109
2024-06-02 15:43:55.1,2.26679,1.85539,2.24031,0.89067,-3.25623,-1.48446,-15.80811,-10.13184,-11.59668,432,-862,-166,1732,13012,-7816,5919,0.62730,-3.40946,-2.84441,-18.85986,55.29785,-8.23975,261,4,-111
2024-06-02 15:43:55.2,5.36982,9.18533,6.06249,-1.31207,-9.89319,-7.09667,-15.38086,-11.23047,-9.33838,-1187,-1427,-351,1757,13317,-8021,4867,-0.59378,-10.25234,-9.30420,76.04980,89.90479,-30.82275,260,7,-113
2024-06-02 15:43:55.3,7.09281,4.97892,6.35396,3.01680,-8.79182,-5.39193,-17.15088,-10.49805,-8.17871,303,-496,-1729,1878,13944,-7441,3885,4.20437,-9.01210,-4.98491,-14.34326,25.20752,-110.16846,262,7,-115
2024-06-02 15:43:55.4,7.28984,4.14532,5.67668,4.39591,-8.15973,-4.07987,-16.29639,-11.59668,-6.04248,641,263,-446,1810,14432,-6469,3878,3.70157,-8.05438,-5.18603,-37.84180,-15.19775,-27.46582,265,2,-116
2024-06-02 15:43:55.5,0.23341,4.91615,0.34874,-2.68160,-3.69678,-1.86754,-14.03809,-14.16016,-4.45557,260,-219,-373,1442,14643,-5988,4011,-2.67681,-3.17961,-3.15088,-7.01904,15.68604,-25.32959,265,2,-116
2024-06-02 15:43:55.6,7.49971,6.49635,7.27140,4.44380,-9.32814,-6.67527,-13.36670,-14.40430,-3.78418,-1131,-871,-657,1901,14872,-5746,3261,5.59305,-11.80384,-6.67048,66.58936,53.03955,-37.53662,268,1,-115
2024-06-02 15:43:55.7,5.98835,7.56845,6.56029,2.28894,-8.60986,-7.53722,-13.36670,-14.83154,-5.24902,-74,64,390,2328,14871,-5836,2795,1.75262,-9.11266,-7.70003,2.19727,-4.02832,25.32959,265,2,-117
2024-06-02 15:43:55.8,3.60898,6.77487,3.79717,-0.23943,-7.01047,-4.91308,-13.36670,-14.52637,-5.61523,1061,-24,133,1944,14785,-6059,3057,-0.36872,-4.94181,-5.13814,-60.91309,-0.24414,2.07520,265,6,-117
2024-06-02 15:43:55.9,4.70481,5.44396,5.11984,1.96332,-6.90512,-5.14293,-13.36670,-14.89258,-3.41797,-124,-182,-189,1678,14902,-5848,3056,2.35119,-7.48933,-5.82769,8.30078,12.75635,-12.32910,269,0,-119
2024-06-02 15:43:56.0,5.84664,7.14636,5.14171,1.77177,-8.75351,-5.65052,-13.36670,-14.89258,-3.78418,-171,0,194,1878,14921,-5808,2923,1.58981,-9.50532,-6.89555,7.38525,3.66211,13.12256,267,2,-119
2024-06-02 15:43:56.1,4.88487,6.70073,6.79154,1.97289,-8.00650,-6.84766,-13.36670,-14.89258,-3.78418,781,-92,-97,1449,14984,-5735,2985,2.03514,-7.72397,-7.43666,-46.99707,4.69971,-7.93457,269,6,-120
2024-06-02 15:43:56.2,4.66166,5.98070,5.11563,1.32165,-7.44144,-5.15251,-13.36670,-15.68604,-3.41797,-167,-648,252,1276,14997,-5851,2770,1.47967,-9.27068,-5.47813,8.85010,41.32080,14.77051,266,5,-121
2024-06-02 15:43:56.3,6.62875,4.03754,4.13218,3.28496,-7.60426,-2.94976,-14.03809,-14.89258,-2.31934,891,8,294,803,14991,-5967,2731,3.06948,-7.48933,-2.75822,-53.28369,-2.44141,17.70020,267,5,-125
2024-06-02 15:43:56.4,2.92219,5.26420,2.99280,-0.57463,-5.95699,-3.06469,-15.13672,-14.52637,-1.03760,-273,375,551,726,14825,-6248,3016,-1.15883,-6.56514,-4.58745,18.24951,-17.45605,32.83691,266,6,-121
2024-06-02 15:43:56.5,2.56355,7.87031,2.91837,-2.68160,-7.42229,-3.84044,-15.86914,-13.85498,-1.03760,33,23,-322,865,14739,-6409,3063,-2.01599,-6.25388,-5.97135,0.85449,1.03760,-25.08545,266,7,-122
2024-06-02 15:43:56.6,6.04719,4.82720,7.36574,3.57228,-7.66172,-6.53162,-15.50293,-14.52637,-2.92969,-238,-484,-274,1107,14955,-6006,2734,3.43341,-9.16054,-5.99529,14.09912,28.32031,-13.12256,264,3,-121
2024-06-02 15:43:56.7,5.87184,6.81292,7.02103,2.15486,-9.06956,-6.57950,-14.03809,-14.52637,-2.19727,790,582,78,1016,14973,-5931,2834,2.12613,-8.90196,-6.02403,-49.01123,-39.73389,5.24902,269,2,-123
2024-06-02 15:43:56.8,6.20459,6.33709,8.17757,3.64889,-9.32814,-6.72316,-15.13672,-15.31982,-1.83105,-284,1109,31,940,14800,-5914,3679,3.89790,-11.85651,-6.84287,18.61572,-67.56592,5.00488,267,4,-119
2024-06-02 15:43:56.9,0.16966,1.86500,0.48221,-0.80448,-1.47488,-0.95771,-14.03809,-15.31982,-3.41797,-330,1347,754,1110,14292,-6266,4865,-0.89067,-0.96729,-2.84441,32.89795,-75.80566,46.20361,266,3,-119
2024-06-02 15:43:57.0,3.43892,9.96715,6.83332,-0.66082,-7.96819,-9.69207,-14.03809,-13.85498,-7.56836,-3168,141,983,2879,13633,-7316,4558,-1.23066,-12.36889,-10.42473,182.55615,1.52588,71.71631,260,4,-109
2024-06-02 15:43:57.1,6.22470,7.07859,4.37206,0.21070,-7.96819,-6.66570,-16.35742,-9.46045,-12.93945,-304,183,-78,3743,13037,-8222,4105,0.64646,-7.94424,-7.31215,18.12744,-11.04736,-4.21143,255,5,-107
2024-06-02 15:43:57.2,6.41858,4.97960,4.82328,2.00162,-7.24990,-5.71756,-15.62500,-8.66699,-12.93945,256,321,336,3887,12866,-8335,4279,1.82924,-6.50767,-6.46458,-13.42773,-18.31055,17.70020,257,6,-108
2024-06-02 15:43:57.3,4.78827,5.32344,6.31777,2.33682,-5.74629,-7.25948,-15.31982,-7.87354,-13.24463,-138,374,139,3999,12718,-8375,4532,2.37034,-6.23951,-8.16931,9.21631,-20.56885,8.42285,257,3,-106
2024-06-02 15:43:57.4,6.69426,6.69426,3.83856,0.46928,-8.26508,-5.98572,-15.31982,-7.56836,-13.24463,75,247,157,4113,12561,-8395,4824,0.40703,-8.48056,-7.88199,-3.84521,-11.04736,7.32422,256,2,-103
2024-06-02 15:43:57.5,3.53709,5.43112,4.30988,0.59378,-4.95139,-5.97614,-13.85498,-8.30078,-13.67188,-31,-309,-257,3914,12761,-8264,4690,0.63209,-5.57869,-7.01047,4.82178,19.59229,-16.35742,256,2,-105
