Time,BNO055_ARX,BNO055_ARY,BNO055_ARZ,BNO055_AX,BNO055_AY,BNO055_AZ,BNO055_GX,BNO055_GY,BNO055_GZ,BNO055_MX,BNO055_MY,BNO055_MZ,BNO055_Q0,BNO055_Q1,BNO055_Q2,BNO055_Q3,MPU9250_AX,MPU9250_AY,MPU9250_AZ,MPU9250_GX,MPU9250_GY,MPU9250_GZ,MPU9250_MX,MPU9250_MY,MPU9250_MZ
2024-05-17 12:34:59.0,-2.83040,0.41405,8.68773,-1.59938,5.64094,-7.02005,-11.77979,-5.37109,-16.84570,16,-184,241,-3858,-14602,6279,945,-1.58981,5.48292,-7.61383,4.51660,16.60156,14.03809,87,78,84
2024-05-17 12:34:59.1,-2.44273,1.12153,11.81665,-1.80050,6.81893,-9.85489,-13.91602,-5.06592,-16.47949,-468,-454,376,-3986,-14401,6591,1306,-1.66642,7.20202,-10.06079,32.65381,25.39062,19.89746,85,82,81
2024-05-17 12:34:59.2,-2.38232,-0.70385,10.03256,-0.39266,7.57552,-7.02005,-13.54980,-3.17383,-17.94434,-998,127,43,-4585,-14108,6760,1636,-0.41661,7.70003,-6.60344,70.55664,-3.29590,0.18311,84,80,82
2024-05-17 12:34:59.3,-0.72601,2.21266,6.83293,-1.64727,3.90748,-5.84206,-13.54980,-1.46484,-17.57812,-624,484,-245,-5473,-13867,6530,1881,-1.29292,3.05990,-5.79896,27.40479,-24.04785,-13.42773,81,80,83
2024-05-17 12:34:59.4,-1.49714,0.56773,6.98494,-0.75659,5.15251,-4.92265,-13.54980,-1.34277,-18.24951,630,325,151,-5476,-13939,6446,1615,-0.40703,5.21955,-4.97054,-38.08594,-18.79883,8.72803,83,78,84
2024-05-17 12:34:59.5,-3.37596,0.23537,9.31135,-1.24503,7.61383,-6.21557,-12.45117,-1.83105,-18.24951,615,49,150,-5106,-14019,6656,1239,-1.19235,8.21719,-6.31134,-35.82764,-2.80762,0.24414,82,79,84
2024-05-17 12:34:59.6,-2.60268,0.09160,10.11131,-0.48843,7.27863,-7.47018,-12.87842,-3.29590,-17.57812,418,-37,272,-4737,-14125,6736,1055,-0.60815,7.44623,-7.48933,-20.32471,2.50244,15.99121,82,79,84
2024-05-17 12:34:59.7,-2.62190,1.36906,9.81171,-1.51319,6.57950,-7.70960,-12.08496,-3.29590,-17.94434,-638,-401,135,-4736,-14033,6907,1166,-1.45094,5.68404,-7.47496,43.45703,26.36719,10.80322,81,79,83
2024-05-17 12:34:59.8,0.84066,3.01389,9.65911,-0.70871,3.68720,-9.43349,-13.24463,-1.83105,-17.94434,253,128,-67,-4928,-13903,6997,1375,-0.41182,4.38155,-9.37124,-24.96338,-9.39941,-10.92529,83,82,85
2024-05-17 12:34:59.9,-4.68902,-0.73945,9.68382,-1.31207,8.88759,-5.96656,-13.24463,-2.50244,-17.82227,-503,207,-332,-4702,-14074,6847,1175,-1.44615,8.84450,-8.39437,34.91211,-6.71387,-20.62988,85,80,84
