Time,BNO055_ARX,BNO055_ARY,BNO055_ARZ,BNO055_AX,BNO055_AY,BNO055_AZ,BNO055_GX,BNO055_GY,BNO055_GZ,BNO055_MX,BNO055_MY,BNO055_MZ,BNO055_Q0,BNO055_Q1,BNO055_Q2,BNO055_Q3,MPU9250_AX,MPU9250_AY,MPU9250_AZ,MPU9250_GX,MPU9250_GY,MPU9250_GZ,MPU9250_MX,MPU9250_MY,MPU9250_MZ
2024-05-17 14:20:04.0,0.02422,-0.03844,9.37883,5.10462,2.98807,-7.27863,20.38574,-7.01904,-10.43701,18,13,-14,722,14284,5870,5423,5.80854,3.66805,-7.19723,1.15967,0.18311,-0.24414,26,-16,-76
2024-05-17 14:20:04.1,-0.15417,-0.06188,9.37137,4.99927,2.91145,-7.37440,20.38574,-7.38525,-10.00977,-6,26,-35,721,14267,5899,5438,5.61221,3.52918,-7.21638,2.50244,-0.54932,-1.95312,25,-15,-78
2024-05-17 14:20:04.2,-0.02089,0.04335,9.40707,5.18124,2.92103,-7.28821,20.69092,-7.01904,-8.85010,41,39,-4,689,14238,5950,5462,5.82769,3.58185,-7.11103,-0.24414,-1.28174,0.24414,25,-15,-76
2024-05-17 14:20:04.3,-0.09062,-0.31686,9.35039,4.89392,3.10300,-7.34567,21.05713,-6.34766,-9.64355,73,37,-88,639,14206,6019,5474,5.54517,3.82128,-7.38877,-2.31934,-1.52588,-4.51660,26,-16,-77
2024-05-17 14:20:04.4,-0.38179,-0.27165,9.39422,4.67365,2.89230,-7.63299,19.22607,-7.01904,-10.43701,161,-62,-116,643,14207,6124,5356,5.34884,3.41425,-7.43187,-7.87354,4.39453,-6.22559,24,-17,-77
2024-05-17 14:20:04.5,0.33795,0.16427,9.38716,5.23870,2.92103,-7.23075,18.55469,-6.71387,-9.64355,196,-38,-90,549,14214,6228,5225,6.01924,3.50045,-7.05836,-9.88770,2.74658,-4.51660,27,-16,-76
2024-05-17 14:20:04.6,0.36433,0.42827,9.74345,5.70798,2.70076,-7.44144,20.69092,-5.92041,-9.27734,280,164,-86,335,14161,6349,5243,6.45500,3.50524,-7.14455,-15.38086,-10.49805,-4.69971,25,-16,-79
2024-05-17 14:20:04.7,0.37865,0.01775,9.54192,5.49728,2.77737,-7.29779,21.48438,-7.01904,-7.69043,388,303,-203,43,14035,6553,5340,6.22515,3.46693,-6.97695,-19.16504,-19.95850,-10.92529,25,-15,-81
2024-05-17 14:20:04.8,0.07757,-0.34089,9.95460,5.59305,2.86357,-7.72876,20.69092,-7.08008,-7.32422,90,309,-101,-187,13860,6749,5546,6.32092,3.51960,-7.76707,0.24414,-16.96777,-5.43213,25,-17,-83
2024-05-17 14:20:04.9,-0.05188,-0.40836,9.87947,5.57390,2.93061,-7.62341,20.38574,-7.08008,-7.32422,-113,201,-148,-174,13748,6831,5722,6.31134,3.47172,-7.29300,8.91113,-11.10840,-8.42285,23,-17,-84
2024-05-17 14:20:05.0,-0.47731,-0.07394,8.54749,4.94181,2.10697,-6.66570,23.31543,-6.83594,-6.89697,141,31,-61,-189,13672,6870,5855,5.62179,2.98328,-6.54598,-7.20215,-0.97656,-3.35693,23,-18,-81
2024-05-17 14:20:05.1,-0.58587,-0.22997,9.63175,5.47813,2.14528,-7.65214,21.48438,-6.40869,-6.10352,1047,301,-622,-574,13484,7307,5735,6.58908,3.07426,-7.50370,-62.74414,-21.24023,-34.66797,23,-18,-84
2024-05-17 14:20:05.2,0.23164,-0.09640,10.60725,6.57950,2.37513,-7.97776,21.48438,-5.37109,-4.94385,956,251,-349,-1340,13091,8036,5540,7.26906,2.20753,-8.21719,-53.28369,-15.56396,-15.74707,23,-18,-86
2024-05-17 14:20:05.3,0.24635,0.06227,9.67137,6.22515,1.41742,-7.26906,20.69092,-5.73730,-4.15039,908,115,461,-1981,13044,8168,5257,6.90512,1.84839,-7.20680,-49.92676,-7.26318,31.73828,24,-18,-88
2024-05-17 14:20:05.4,0.96246,-0.40287,9.27066,5.88037,1.44615,-7.09667,22.94922,-6.40869,-2.62451,756,-250,116,-2582,13092,8172,4857,6.62260,2.59541,-7.13976,-43.39600,15.62500,6.77490,24,-17,-89
2024-05-17 14:20:05.5,1.72407,-0.42200,7.78127,4.86519,1.81008,-6.06233,22.15576,-6.40869,-2.62451,632,-479,-452,-2794,12959,8600,4327,5.54038,2.39429,-5.75587,-36.92627,28.01514,-26.06201,23,-18,-87
2024-05-17 14:20:05.6,4.13453,0.16064,7.60317,5.63136,3.90748,-5.28659,21.05713,-6.04248,-2.92969,5,143,-497,-2816,12738,9023,4102,6.11501,3.48129,-4.84125,2.01416,-9.21631,-27.16064,23,-20,-90
2024-05-17 14:20:05.7,-0.48054,0.27430,6.30492,3.84044,-0.46928,-5.00885,21.05713,-5.61523,-2.50244,160,310,71,-2904,12658,9044,4240,4.41985,-0.45970,-4.47253,-10.25391,-20.44678,6.16455,21,-19,-90
2024-05-17 14:20:05.8,-0.67178,-0.34413,6.61188,3.79255,-0.85237,-5.40151,21.48438,-5.73730,-1.46484,1121,573,-97,-3604,12433,9107,4235,4.68801,-0.67040,-5.46855,-67.32178,-36.19385,-1.70898,22,-17,-92
2024-05-17 14:20:05.9,0.34364,-0.10189,8.41225,5.72713,-0.87152,-6.11022,21.48438,-6.04248,1.22070,1435,571,-192,-4720,11950,9375,3933,6.48852,-0.60336,-5.18124,-83.55713,-40.77148,-5.85938,23,-18,-94
