Time,BNO055_ARX,BNO055_ARY,BNO055_ARZ,BNO055_AX,BNO055_AY,BNO055_AZ,BNO055_GX,BNO055_GY,BNO055_GZ,BNO055_MX,BNO055_MY,BNO055_MZ,BNO055_Q0,BNO055_Q1,BNO055_Q2,BNO055_Q3,MPU9250_AX,MPU9250_AY,MPU9250_AZ,MPU9250_GX,MPU9250_GY,MPU9250_GZ,MPU9250_MX,MPU9250_MY,MPU9250_MZ
2024-09-30 13:53:49.0,-0.18506,-0.14063,9.37000,4.03198,-2.87314,-7.95861,-7.69043,-0.85449,-17.76123,10,-20,-12,1130,9535,-12560,4301,4.25704,-3.23229,-6.84287,-2.25830,0.30518,-1.34277,-159,98,-38
2024-09-30 13:53:49.1,0.12484,-0.22566,9.56889,4.09902,-3.22750,-8.02565,-7.69043,-1.52588,-17.33398,-2,0,13,1146,9529,-12564,4296,4.30493,-3.56749,-7.03442,-2.86865,-0.85449,-0.42725,-158,98,-36
2024-09-30 13:53:49.2,-0.20909,0.09425,9.40746,3.86917,-2.84441,-8.09269,-8.05664,-1.22070,-16.96777,24,-9,8,1128,9530,-12554,4329,4.05592,-3.18919,-7.09188,-2.56348,0.30518,-0.42725,-158,97,-37
2024-09-30 13:53:49.3,0.01206,-0.10984,9.44110,3.96494,-3.10300,-7.98734,-7.69043,-0.18311,-16.96777,31,-34,-24,1107,9536,-12555,4319,4.22831,-3.45735,-6.96738,-4.08936,1.64795,-2.74658,-160,99,-36
2024-09-30 13:53:49.4,-0.17966,-0.15083,9.51661,4.07029,-2.97849,-8.07354,-8.05664,-1.22070,-17.33398,25,-44,9,1073,9558,-12539,4325,4.27620,-3.36158,-6.99611,-2.86865,1.95312,0.12207,-156,98,-37
2024-09-30 13:53:49.5,-0.13779,-0.19173,9.52368,4.08944,-3.02638,-8.05438,-8.78906,-0.85449,-17.33398,12,19,-31,1069,9559,-12540,4321,4.39112,-3.37594,-6.96259,-2.99072,-2.38037,-3.35693,-158,99,-37
2024-09-30 13:53:49.6,-0.06257,-0.08307,9.63959,4.07029,-3.10300,-8.16931,-8.05664,-1.52588,-17.33398,-33,1,40,1109,9560,-12528,4343,4.35281,-3.49566,-7.17807,0.06104,-0.97656,1.09863,-158,100,-35
2024-09-30 13:53:49.7,0.20585,0.38443,8.83483,3.21792,-3.05511,-7.65214,-7.32422,-0.85449,-17.33398,8,-23,148,1075,9490,-12579,4358,3.44777,-2.95934,-6.86682,-3.35693,0.18311,8.91113,-157,100,-35
2024-09-30 13:53:49.8,0.05747,0.10935,9.43276,3.62974,-3.06469,-8.15015,-8.78906,-0.85449,-17.33398,-209,-137,145,1060,9471,-12646,4207,3.82128,-3.80213,-7.25469,10.62012,7.69043,6.59180,-160,100,-36
2024-09-30 13:53:49.9,-0.62323,-0.53968,9.71305,4.25225,-2.65287,-8.36085,-8.78906,-0.48828,-16.96777,-206,-184,555,959,9231,-12897,3998,4.46774,-3.03117,-7.27863,10.86426,10.43701,32.16553,-159,98,-36
2024-09-30 13:53:50.0,-1.66837,-0.95402,9.12571,4.53957,-1.69516,-7.96819,-9.15527,-0.18311,-17.76123,-459,-81,741,857,8827,-13247,3780,4.73590,-2.49964,-6.76626,25.51270,4.08936,42.72461,-163,100,-35
2024-09-30 13:53:50.1,-0.52467,-1.90491,10.70101,5.06631,-3.26581,-9.05998,-9.15527,2.01416,-17.76123,-992,345,1354,1118,7951,-13917,3208,5.46376,-4.28577,-6.87160,59.44824,-21.42334,79.34570,-165,98,-36
2024-09-30 13:53:50.2,-1.89010,0.89371,6.62541,2.70076,0.21070,-6.39754,-7.32422,4.76074,-17.76123,-987,338,1639,1469,6608,-14596,3095,2.89709,0.70871,-5.88037,58.41064,-21.91162,96.49658,-168,95,-35
