Time,BNO055_ARX,BNO055_ARY,BNO055_ARZ,BNO055_AX,BNO055_AY,BNO055_AZ,BNO055_GX,BNO055_GY,BNO055_GZ,BNO055_MX,BNO055_MY,BNO055_MZ,BNO055_Q0,BNO055_Q1,BNO055_Q2,BNO055_Q3,MPU9250_AX,MPU9250_AY,MPU9250_AZ,MPU9250_GX,MPU9250_GY,MPU9250_GZ,MPU9250_MX,MPU9250_MY,MPU9250_MZ
2024-09-30 14:58:09.0,-0.15260,-0.03099,9.41001,2.86357,-0.12450,-8.96421,-9.52148,9.15527,-17.08984,34,1,16,2079,7220,-14505,1259,3.04074,-0.24422,-8.09748,-3.78418,-0.79346,-0.18311,-170,101,-40
2024-09-30 14:58:09.1,-0.18761,0.08326,9.26693,2.75822,-0.02873,-8.84929,-9.52148,10.13184,-15.99121,-33,-12,-2,2081,7203,-14513,1261,2.97370,0.06225,-8.07832,-0.42725,0.00000,-0.67139,-174,97,-42
2024-09-30 14:58:09.2,-0.01010,-0.15250,9.40060,2.84441,-0.34478,-8.95463,-9.94873,9.82666,-16.66260,133,33,-69,2046,7208,-14515,1273,3.02638,-0.00958,-7.78143,-10.07080,-2.07520,-3.35693,-173,101,-41
2024-09-30 14:58:09.3,-0.18820,-0.51850,9.22633,3.31369,-0.39266,-8.61943,-8.85010,9.52148,-17.08984,9,122,-295,2144,7397,-14398,1350,3.54833,-0.29689,-7.77186,-2.25830,-8.11768,-18.79883,-170,101,-40
2024-09-30 14:58:09.4,0.25498,0.70110,9.22672,2.23148,-0.09577,-8.98337,-9.52148,9.52148,-17.08984,390,100,-896,2190,7878,-14121,1473,2.46612,0.21070,-8.12142,-25.39062,-6.59180,-53.83301,-170,101,-39
2024-09-30 14:58:09.5,0.73758,2.40409,8.89132,0.56505,0.00958,-9.22279,-9.52148,8.78906,-17.45605,488,50,-1618,2150,8839,-13520,1703,0.84758,0.48843,-8.45662,-32.34863,-3.35693,-97.35107,-165,101,-39
2024-09-30 14:58:09.6,0.41709,2.79431,7.99329,0.12450,0.14366,-8.47578,-10.49805,6.59180,-17.08984,375,305,-2347,2236,10237,-12463,1824,0.66082,0.46928,-7.41750,-26.36719,-17.88330,-142.21191,-162,103,-40
2024-09-30 14:58:09.7,0.22193,1.69102,8.40166,1.65685,0.21070,-8.40874,-10.80322,2.50244,-18.43262,501,435,-2663,2553,11812,-10887,1967,2.39908,0.14366,-7.64735,-33.75244,-26.36719,-161.80420,-157,103,-38
2024-09-30 14:58:09.8,-0.55557,1.66238,8.69096,1.74304,0.88110,-8.64817,-9.76562,0.00000,-18.12744,829,189,-2448,2562,13240,-9050,2163,2.25063,0.40224,-8.15494,-53.46680,-11.16943,-148.19336,-154,100,-39
2024-09-30 14:58:09.9,-1.83195,1.90766,9.57791,0.92898,1.22588,-9.81658,-7.69043,-3.41797,-16.29639,1375,-343,-1859,1966,14301,-7401,2296,1.13010,1.07743,-9.33772,-86.05957,20.93506,-111.26709,-148,96,-38
2024-09-30 14:58:10.0,-3.04851,-0.83840,10.75514,1.63769,2.54752,-10.79345,-5.24902,-8.30078,-15.13672,1485,-376,-1886,816,15104,-5834,2368,2.37992,3.29454,-9.90277,-91.06445,22.64404,-113.52539,-144,96,-44
2024-09-30 14:58:10.1,-1.15164,-4.29900,11.97739,4.76942,3.66805,-11.27230,-3.96729,-11.23047,-12.26807,726,203,-1051,251,15601,-4334,2488,5.54517,1.81487,-9.98897,-45.65430,-13.54980,-59.50928,-139,93,-44
2024-09-30 14:58:10.2,1.12172,-3.56386,10.11249,5.87079,1.81008,-8.85886,-1.34277,-13.91602,-10.74219,-332,171,328,140,15582,-4288,2686,6.31134,1.69516,-7.80538,19.65332,-11.65771,18.06641,-138,92,-45
2024-09-30 14:58:10.3,1.44006,-2.59062,8.82718,5.25785,1.11095,-7.60426,-0.97656,-13.36670,-10.31494,-522,-327,197,427,15538,-4480,2601,5.43024,0.05746,-7.17328,31.86035,20.44678,13.24463,-141,92,-43
2024-09-30 14:58:10.4,0.68924,-0.93274,10.09974,3.93621,0.35435,-9.36645,-2.01416,-13.06152,-11.47461,-157,-144,716,734,15418,-5017,2240,3.94579,1.01997,-8.04480,3.41797,6.89697,39.85596,-143,96,-43
2024-09-30 14:58:10.5,-0.39238,-0.83026,8.53366,2.58583,0.63209,-8.15973,-3.90625,-11.96289,-11.77979,237,-5,379,510,15338,-5267,2275,2.70554,0.55069,-7.21638,-10.43701,-3.35693,24.96338,-142,96,-44
2024-09-30 14:58:10.6,-0.76573,-0.33638,8.37361,2.16444,0.57463,-8.11184,-4.94385,-11.59668,-11.10840,-387,366,602,699,15176,-5653,2385,2.33682,0.58899,-6.93864,24.90234,-25.57373,35.82764,-145,97,-43
2024-09-30 14:58:10.7,-0.59489,0.33354,8.51865,2.20274,0.43097,-8.24592,-4.15039,-11.59668,-12.20703,-888,243,763,1276,14904,-6218,2451,2.52358,0.67998,-7.81016,55.48096,-17.45605,41.01562,-145,98,-41
2024-09-30 14:58:10.8,-0.58254,1.62571,9.65950,2.08782,0.15323,-9.58673,-4.57764,-9.94873,-14.03809,-387,390,411,1874,14625,-6677,2540,2.22669,0.58899,-8.53324,12.08496,-23.62061,17.57812,-146,95,-38
2024-09-30 14:58:10.9,-0.84272,1.57442,9.97382,2.38471,0.48843,-9.83573,-3.47900,-8.78906,-15.13672,-145,308,261,2040,14515,-6789,2737,2.56189,0.20112,-9.31378,3.29590,-16.72363,18.73779,-149,95,-39
2024-09-30 14:58:11.0,-0.55694,1.18027,10.00716,2.74864,0.41182,-9.70165,-3.96729,-9.15527,-15.86914,-10,-455,317,1945,14434,-7005,2694,2.94018,0.63688,-9.33293,-1.28174,26.55029,18.55469,-146,96,-38
2024-09-30 14:58:11.1,-0.07914,-0.09513,9.61988,3.37116,0.56505,-8.99294,-5.73730,-8.05664,-15.50293,324,-239,38,1624,14465,-7117,2429,3.62016,0.61773,-7.67130,-21.42334,13.73291,2.01416,-146,95,-40
2024-09-30 14:58:11.2,0.00029,-0.54694,9.00008,3.44777,0.55547,-8.31296,-5.06592,-8.48389,-15.50293,91,-146,-48,1415,14509,-7069,2439,3.62016,0.62730,-7.56116,-7.50732,8.42285,-3.84521,-148,99,-40
2024-09-30 14:58:11.3,-0.31775,0.01451,8.37577,2.58583,0.47886,-7.95861,-6.89697,-9.15527,-14.03809,55,52,-354,1400,14595,-6908,2398,2.77258,0.66561,-7.11582,-5.37109,-3.66211,-22.76611,-145,97,-40
2024-09-30 14:58:11.4,-0.32608,0.27312,8.40156,2.36556,0.54590,-8.05438,-5.06592,-8.05664,-15.13672,-310,-166,-261,1556,14717,-6645,2297,2.50442,0.39745,-7.63778,16.96777,10.74219,-16.84570,-146,98,-41
2024-09-30 14:58:11.5,-0.38512,1.45673,8.75353,1.24503,0.22027,-8.79182,-5.43213,-8.48389,-14.03809,-345,-587,-249,1736,14803,-6551,1837,1.31207,0.74223,-8.49493,17.51709,36.43799,-17.82227,-148,98,-40
2024-09-30 14:58:11.6,-0.89067,2.36878,10.61578,-0.03831,0.32562,-10.90837,-6.89697,-8.05664,-15.13672,106,-692,-838,1620,15058,-6139,1179,-0.06704,0.64167,-10.26191,-10.92529,41.74805,-52.42920,-145,99,-40
2024-09-30 14:58:11.7,-1.10682,1.69367,9.47886,-0.58421,0.46928,-9.66334,-6.89697,-9.27734,-14.03809,311,-148,-1279,1274,15428,-5312,761,-0.22506,0.94814,-8.02086,-20.56885,4.63867,-80.26123,-145,100,-41
2024-09-30 14:58:11.8,0.19182,-0.36090,7.82912,1.56108,0.78533,-7.64256,-6.10352,-10.25391,-14.03809,991,321,-1058,904,15785,-4157,1089,1.71910,0.66082,-7.46539,-62.07275,-16.84570,-62.01172,-143,94,-40
