Time,BNO055_ARX,BNO055_ARY,BNO055_ARZ,BNO055_AX,BNO055_AY,BNO055_AZ,BNO055_GX,BNO055_GY,BNO055_GZ,BNO055_MX,BNO055_MY,BNO055_MZ,BNO055_Q0,BNO055_Q1,BNO055_Q2,BNO055_Q3,MPU9250_AX,MPU9250_AY,MPU9250_AZ,MPU9250_GX,MPU9250_GY,MPU9250_GZ,MPU9250_MX,MPU9250_MY,MPU9250_MZ
2024-09-30 15:24:51.0,1.83891,0.12347,9.05225,1.64727,3.92663,-8.19804,18.73779,13.42773,-2.31934,101,-452,1099,936,-8015,-13943,-2985,1.73825,5.28659,-7.42229,-8.42285,26.67236,63.11035,-174,63,-56
2024-09-30 15:24:51.1,2.15764,-0.36031,8.86680,1.01518,4.12775,-8.08311,20.08057,11.96289,-3.11279,-794,18,565,664,-8509,-13651,-3041,1.33601,3.23708,-6.95301,49.01123,-4.69971,35.52246,-174,62,-57
2024-09-30 15:24:51.2,-1.18812,-1.34150,8.81865,2.07824,1.42700,-8.63859,20.75195,10.98633,-1.34277,-835,424,692,624,-9055,-13108,-3773,2.37992,2.49964,-8.21719,47.60742,-25.45166,34.85107,-173,60,-60
2024-09-30 15:24:51.3,-0.04521,-0.46260,9.76512,2.71991,3.44777,-8.73436,20.99609,10.98633,0.00000,-293,-421,133,394,-9157,-12945,-4105,2.89709,3.44298,-8.40874,16.41846,27.03857,8.66699,-171,61,-59
2024-09-30 15:24:51.4,-1.34101,-1.11682,9.76051,1.90585,2.42302,-9.42391,20.69092,10.98633,-0.36621,-207,-997,-101,-256,-9327,-12874,-3954,2.23626,2.40865,-8.69126,6.89697,60.48584,-8.11768,-172,60,-56
2024-09-30 15:24:51.5,-2.63671,1.11251,10.19506,3.56270,1.75262,-9.81658,21.17920,10.62012,-2.99072,568,-731,282,-763,-9498,-12899,-3355,3.94100,1.16362,-8.46141,-38.69629,39.48975,21.66748,-172,61,-54
2024-09-30 15:24:51.6,-1.90501,2.38830,10.10356,4.35760,1.53234,-9.49095,20.56885,9.94873,-4.45557,1141,59,727,-386,-9918,-12771,-2612,4.91787,1.72868,-8.71999,-69.03076,-8.05664,44.55566,-168,60,-52
2024-09-30 15:24:51.7,1.48782,2.48637,7.32259,3.40946,2.91145,-6.47415,21.54541,8.48389,-6.04248,1480,-283,843,449,-10292,-12609,-1822,2.60020,1.07264,-7.49891,-90.27100,32.53174,68.90869,-165,57,-50
2024-09-30 15:24:51.8,-0.34795,-8.08695,19.90890,-13.40801,-1.47488,-16.73128,20.75195,3.41797,-9.15527,3753,-11259,3131,-1159,-11693,-11215,2144,-12.84774,9.29462,-28.29569,-278.86963,762.93945,185.54688,-156,70,-35
2024-09-30 15:24:51.9,1.62600,15.42612,25.44132,-3.01680,-1.13968,-29.62212,3.66211,-2.31934,-19.10400,-4599,8471,-1588,-3226,-11409,-10527,4129,26.92615,8.19804,-14.70571,322.50977,-740.23438,-162.78076,-160,71,-34
2024-09-30 15:24:52.0,1.98101,1.55588,-0.68600,0.49801,2.47090,0.67998,20.69092,6.53076,-6.40869,1977,-5267,-2339,759,-8765,-13819,-259,1.04870,-5.97614,3.95536,15.25879,311.70654,-83.31299,-169,63,-46
2024-09-30 15:24:52.1,0.71150,-13.85258,4.19946,-11.96186,0.99602,-8.12142,18.06641,7.20215,-11.90186,680,9799,5632,2166,-11789,-11100,-1251,-20.47115,29.64127,-28.36751,-89.35547,-492.18750,122.86377,-155,60,-60
2024-09-30 15:24:52.2,-0.64128,2.09654,-0.62549,1.70473,0.29689,1.48446,24.29199,5.12695,-0.85449,-3091,-607,-3555,2811,-8502,-13557,-2110,3.48129,-3.34242,15.04091,177.12402,98.57178,-243.04199,-172,60,-58
2024-09-30 15:24:52.3,3.91348,10.01246,-1.32473,1.33122,10.15178,-3.53397,18.73779,11.90186,-1.03760,16713,1377,-2660,8710,-2550,-13473,2131,-2.06866,-1.38390,-11.15259,-1012.32910,-142.33398,-152.64893,-173,63,-51
2024-09-30 15:24:52.4,6.13987,32.47392,17.65240,28.38667,-4.33845,-24.06737,18.55469,3.96729,-12.39014,-2209,2692,3355,8460,-527,-10652,9118,44.80669,18.19658,-27.83119,65.24658,-150.69580,246.09375,-158,61,-47
2024-09-30 15:24:52.5,6.59697,2.07791,5.66207,0.22985,-0.04789,-8.93548,19.22607,4.57764,-10.00977,-9588,-4926,-2271,6214,-3460,-14316,3594,4.76463,-1.88670,-3.22750,598.14453,312.13379,-142.15088,-172,63,-45
2024-09-30 15:24:52.6,-7.55365,9.50387,30.79339,25.00593,1.00560,-21.66351,15.19775,10.25391,-12.75635,-2591,305,-240,4461,-3317,-15406,437,31.84881,1.70952,-28.28611,137.32910,-14.34326,-17.51709,-181,70,-52
2024-09-30 15:24:52.7,-4.37843,-2.61278,17.36594,12.87169,-0.61294,-12.70888,12.69531,14.52637,-7.99561,-5130,3406,2120,4582,-5621,-14090,-4161,15.46231,-0.13887,-5.06631,258.42285,-230.28564,120.42236,-178,67,-75
2024-09-30 15:24:52.8,1.32561,-3.79727,10.65138,9.77827,0.57463,-5.80375,15.80811,13.54980,7.01904,-1760,5775,4418,8408,-6960,-10440,-6349,13.55645,1.92501,-8.72957,89.59961,-329.40674,262.26807,-166,74,-95
2024-09-30 15:24:52.9,9.28527,-5.12622,-2.36378,-2.62414,6.03360,-8.64817,11.71875,7.32422,19.89746,7496,-7031,1320,9689,-7561,-10171,-3733,7.91551,75.35779,20.05934,-393.12744,400.57373,-79.83398,-174,69,-83
