Time,BNO055_ARX,BNO055_ARY,BNO055_ARZ,BNO055_AX,BNO055_AY,BNO055_AZ,BNO055_GX,BNO055_GY,BNO055_GZ,BNO055_MX,BNO055_MY,BNO055_MZ,BNO055_Q0,BNO055_Q1,BNO055_Q2,BNO055_Q3,MPU9250_AX,MPU9250_AY,MPU9250_AZ,MPU9250_GX,MPU9250_GY,MPU9250_GZ,MPU9250_MX,MPU9250_MY,MPU9250_MZ
2024-10-15 14:23:37.0,3.80217,0.56724,8.91574,0.53632,-2.19317,-9.44307,15.86914,-4.08936,-9.33838,254,-958,-940,-3745,9562,12264,-3545,1.44136,-3.10778,-9.42870,-21.48438,57.18994,-52.12402,18,2,132
2024-10-15 14:23:37.1,0.98619,3.05645,8.46148,3.19877,-3.58185,-7.67130,15.62500,-2.01416,-10.80322,138,-251,-100,-3573,8928,12653,-3982,2.75822,-4.10860,-7.91551,1.46484,-5.37109,5.79834,21,4,135
2024-10-15 14:23:37.2,1.59815,0.36139,10.70110,0.72786,-5.08547,-9.52926,16.17432,-2.01416,-10.80322,-86,141,316,-3591,9222,12503,-3763,1.72868,-6.36402,-8.77746,-2.44141,-8.66699,13.67188,19,3,134
2024-10-15 14:23:37.3,-0.52124,-0.38571,9.64822,0.63209,-6.30176,-7.30736,15.86914,-2.62451,-9.64355,-50,493,366,-3794,9415,12328,-3661,0.94335,-7.36962,-7.18286,2.38037,-30.02930,26.06201,19,1,131
2024-10-15 14:23:37.4,0.37051,-0.58626,9.32861,0.34478,-5.51644,-7.54679,15.86914,-2.62451,-10.00977,67,364,290,-4036,9751,12025,-3528,1.02475,-6.31134,-7.71439,-5.12695,-14.52637,16.29639,21,0,129
2024-10-15 14:23:37.5,0.60392,0.73974,8.78109,1.56108,-4.82688,-7.23075,15.86914,-4.08936,-8.17871,-104,364,386,-4144,9982,11804,-3507,1.81008,-5.49728,-7.22596,11.16943,-26.42822,25.32959,21,2,131
2024-10-15 14:23:37.6,0.81437,-0.84036,9.44238,0.26816,-5.13335,-8.00650,16.60156,-4.45557,-7.38525,-226,645,501,-4282,10430,11464,-3147,0.72307,-6.43106,-8.06875,10.25391,-35.46143,30.51758,22,-1,127
2024-10-15 14:23:37.7,-0.00284,-1.07593,9.76512,0.16281,-5.97614,-7.79580,17.63916,-5.55420,-5.85938,24,181,392,-4444,10815,11081,-2990,0.94814,-6.79020,-7.88199,-0.97656,-3.78418,19.83643,22,0,127
2024-10-15 14:23:37.8,0.45799,-0.36296,8.74912,0.57463,-5.03758,-7.15413,16.66260,-5.55420,-5.43213,288,-151,-26,-4407,10876,10991,-3151,1.19235,-5.73192,-6.79020,-20.14160,9.33838,-1.40381,24,2,127
2024-10-15 14:23:37.9,0.59656,0.08052,8.89966,1.00560,-5.15251,-7.21159,17.08984,-6.53076,-6.22559,29,8,-3,-4494,10806,10983,-3293,1.42700,-6.21557,-7.59947,2.68555,-2.50244,3.60107,22,3,127
2024-10-15 14:23:38.0,0.02520,-0.46740,8.64144,0.50759,-5.40151,-6.74231,17.08984,-6.53076,-5.06592,-95,282,200,-4557,10960,10849,-3136,0.98166,-6.43106,-6.78062,7.20215,-14.03809,13.79395,25,-1,125
2024-10-15 14:23:38.1,-0.17486,-1.02493,9.39589,0.07662,-5.93783,-7.35525,16.29639,-7.32422,-5.06592,-66,6,-3,-4582,11174,10668,-2961,1.69037,-6.71837,-7.42229,3.41797,5.43213,-5.49316,26,0,124
2024-10-15 14:23:38.2,0.40434,0.09209,8.88269,1.15883,-5.08547,-7.20202,16.66260,-5.92041,-5.12695,-92,-59,175,-4492,11090,10796,-2955,1.02475,-5.69840,-7.21159,5.06592,3.11279,17.88330,24,0,126
2024-10-15 14:23:38.3,0.50604,1.74378,8.96173,2.59541,-5.16208,-7.08709,15.68604,-6.53076,-5.06592,189,-91,20,-4445,11221,10634,-3115,3.29933,-5.87079,-7.54200,-8.54492,4.76074,-0.24414,24,1,126
2024-10-15 14:23:38.4,0.95961,-0.68286,9.57251,0.34478,-5.19081,-8.12142,16.29639,-6.22559,-6.22559,56,106,180,-4513,11244,10587,-3088,1.11095,-6.12938,-8.33691,-4.57764,-0.36621,10.55908,25,1,128
2024-10-15 14:23:38.5,0.83801,0.35854,9.07903,1.18757,-5.01843,-7.52764,17.08984,-6.89697,-4.63867,5,-296,-197,-4435,11172,10659,-3216,1.70952,-6.15811,-7.68087,-0.24414,17.27295,-7.26318,23,1,127
2024-10-15 14:23:38.6,0.30716,0.67521,9.23564,1.45573,-5.54517,-7.27863,15.68604,-6.53076,-5.85938,10,316,172,-4439,11210,10616,-3219,1.72868,-6.34965,-7.03920,0.61035,-20.38574,12.02393,25,2,126
2024-10-15 14:23:38.7,0.41297,-0.53213,9.27948,0.40224,-5.43982,-7.53722,17.08984,-7.69043,-5.06592,-48,57,3,-4540,11356,10464,-3061,1.15405,-6.15332,-7.46539,2.44141,1.89209,-0.97656,26,0,126
