Time,BNO055_ARX,BNO055_ARY,BNO055_ARZ,BNO055_AX,BNO055_AY,BNO055_AZ,BNO055_GX,BNO055_GY,BNO055_GZ,BNO055_MX,BNO055_MY,BNO055_MZ,BNO055_Q0,BNO055_Q1,BNO055_Q2,BNO055_Q3,MPU9250_AX,MPU9250_AY,MPU9250_AZ,MPU9250_GX,MPU9250_GY,MPU9250_GZ,MPU9250_MX,MPU9250_MY,MPU9250_MZ
2024-05-14 13:17:20.0,0.77887,-1.28462,8.75912,3.88832,4.02240,-6.90512,-6.34766,-5.73730,-19.89746,-27,-172,290,-4258,-14746,5641,-1016,3.68241,4.43422,-7.35525,0.30518,9.82666,15.38086,-395,25,-84
2024-05-14 13:17:20.1,-0.31147,-0.60754,8.47286,2.69118,4.09902,-6.94343,-7.38525,-5.43213,-20.56885,1,15,383,-4228,-14654,5890,-1056,2.25063,4.16606,-7.92988,-0.42725,2.38037,25.57373,-398,24,-84
2024-05-14 13:17:20.2,-2.19726,-0.21242,9.28409,1.58023,5.41109,-7.70003,-8.05664,-6.10352,-19.53125,-77,-215,769,-4190,-14448,6398,-1095,1.25940,5.97135,-8.95942,2.92969,17.57812,47.24121,-396,25,-87
2024-05-14 13:17:20.3,-1.60560,-0.44975,10.51830,2.71033,5.48771,-8.71521,-8.78906,-5.73730,-19.53125,-284,-341,934,-4112,-14137,7121,-974,2.45175,5.96177,-9.19406,16.54053,21.11816,56.88477,-397,25,-86
2024-05-14 13:17:20.4,-0.80839,0.29960,9.83377,2.63372,4.12775,-8.57155,-10.25391,-3.96729,-20.56885,28,-27,600,-4091,-13819,7733,-976,2.29852,4.70238,-9.43828,-2.31934,3.66211,35.03418,-401,27,-86
2024-05-14 13:17:20.5,-1.49017,1.47595,9.29458,1.39826,4.02240,-8.52366,-9.46045,-3.17383,-20.56885,-286,-17,538,-4143,-13562,8141,-1035,0.84279,4.20437,-9.36166,16.54053,3.66211,32.04346,-399,27,-87
2024-05-14 13:17:20.6,-0.47613,2.62190,8.63859,0.90025,2.75822,-8.56197,-9.33838,-2.19727,-19.89746,-324,-20,458,-4362,-13276,8495,-995,0.69434,3.11257,-9.69686,18.73779,3.90625,27.16064,-400,25,-87
2024-05-14 13:17:20.7,0.40160,1.77673,9.22868,2.21232,2.50921,-8.79182,-9.76562,-1.34277,-19.40918,68,-144,198,-4386,-13122,8722,-964,2.27457,3.29454,-9.85967,-9.88770,10.80322,7.62939,-400,27,-89
2024-05-14 13:17:20.8,0.40621,1.55186,11.82656,3.13173,2.85399,-11.15738,-10.13184,-1.70898,-19.10400,1030,-179,-330,-3884,-13321,8643,-1090,2.79174,3.52918,-11.97622,-64.20898,7.99561,-25.14648,-398,27,-86
2024-05-14 13:17:20.9,-0.90950,1.71897,11.27079,2.03036,2.53794,-10.96583,-10.80322,-4.15039,-19.10400,1183,-26,-463,-3048,-13757,8221,-1516,1.37911,2.32246,-11.84214,-68.48145,1.22070,-28.62549,-394,27,-86
