Time,BNO055_ARX,BNO055_ARY,BNO055_ARZ,BNO055_AX,BNO055_AY,BNO055_AZ,BNO055_GX,BNO055_GY,BNO055_GZ,BNO055_MX,BNO055_MY,BNO055_MZ,BNO055_Q0,BNO055_Q1,BNO055_Q2,BNO055_Q3,MPU9250_AX,MPU9250_AY,MPU9250_AZ,MPU9250_GX,MPU9250_GY,MPU9250_GZ,MPU9250_MX,MPU9250_MY,MPU9250_MZ
2024-10-23 19:16:40.0,-0.44436,0.85762,8.95134,-1.44615,-1.41742,-8.77267,9.33838,7.81250,-19.04297,-309,15,-212,1306,7334,14416,-2265,-1.09179,-1.89149,-9.28983,18.31055,1.52588,-14.89258,-4,11,150
2024-10-23 19:16:40.1,-0.39169,1.40691,9.82093,-1.19714,-0.98645,-9.80700,8.97217,7.38525,-18.79883,-151,-40,-507,1333,6965,14624,-2069,-1.04870,-1.59938,-10.14699,5.67627,5.31006,-28.50342,-4,16,150
2024-10-23 19:16:40.2,-1.58099,0.88685,10.09758,-0.91941,-2.27936,-9.96023,7.87354,9.15527,-18.31055,57,-220,-459,1391,6546,14804,-2121,-0.68955,-3.15567,-10.03206,-6.89697,15.86914,-24.78027,-8,16,153
2024-10-23 19:16:40.3,-1.25069,0.85978,9.18141,-1.00560,-2.04951,-9.02167,7.56836,8.78906,-19.10400,103,-55,-222,1438,6254,14899,-2297,-0.94814,-2.17880,-9.33293,-6.65283,3.78418,-10.19287,-5,17,154
2024-10-23 19:16:40.4,-0.16701,1.69426,8.69665,-1.07264,-0.76617,-8.76309,7.56836,9.15527,-20.99609,202,5,-267,1385,6078,14957,-2423,-1.01039,-1.35038,-9.07914,-14.16016,-0.18311,-14.16016,-6,15,156
2024-10-23 19:16:40.5,-0.33932,0.77054,9.35519,-1.53234,-1.81008,-9.08871,7.20215,9.15527,-22.03369,190,0,-321,1195,5880,15042,-2485,-1.54192,-2.49485,-9.41434,-13.54980,2.50244,-19.16504,-7,17,157
2024-10-23 19:16:40.6,0.33736,0.72072,9.63469,-2.13570,-1.66642,-9.28026,7.56836,9.52148,-22.46094,83,-130,-329,1158,5600,15125,-2641,-2.12613,-2.04472,-9.85489,-4.82178,12.08496,-16.78467,-3,20,157
2024-10-23 19:16:40.7,0.98845,1.78478,9.76865,-2.21232,-0.62251,-9.71123,6.53076,8.78906,-24.16992,42,-227,-193,1274,5370,15178,-2758,-2.04472,-0.91941,-10.26191,-3.29590,14.34326,-11.47461,-5,19,160
2024-10-23 19:16:40.8,0.56037,1.88137,8.66635,-1.76220,-0.63209,-8.68647,5.43213,9.15527,-25.39062,13,-262,-313,1421,5075,15242,-2887,-1.87233,-1.13968,-9.35687,-2.25830,17.82227,-17.21191,-6,19,159
2024-10-23 19:16:40.9,0.46309,1.73770,8.80051,-1.92501,-0.43097,-8.76309,6.10352,8.78906,-24.96338,-476,-134,281,1647,5030,15291,-2572,-2.55231,-0.98166,-8.84929,27.70996,8.97217,18.67676,-7,17,159
2024-10-23 19:16:41.0,-0.73749,1.78095,8.52326,-1.17799,-0.91941,-8.60986,5.06592,9.15527,-25.63477,355,-453,1127,1966,5659,15040,-2516,-1.50840,-1.53234,-8.84450,-22.33887,25.20752,70.86182,-6,16,162
2024-10-23 19:16:41.1,1.49988,1.48929,7.83736,-3.14130,0.60336,-7.46060,6.22559,9.15527,-25.26855,462,-660,1674,2478,6820,14400,-2903,-3.09342,0.04789,-8.07354,-28.68652,36.31592,104.18701,-3,17,164
2024-10-23 19:16:41.2,1.69445,0.32912,9.26212,-5.20997,0.31605,-7.84368,6.59180,7.81250,-27.52686,204,-719,1304,3100,7922,13630,-3208,-4.95617,-0.23464,-8.50930,-13.24463,40.95459,80.38330,-2,14,171
2024-10-23 19:16:41.3,-0.91597,0.00088,9.93322,-5.43024,-1.89628,-8.15015,6.83594,7.56836,-29.29688,258,-716,837,3682,8525,13038,-3496,-5.52123,-2.49485,-8.50930,-17.02881,42.17529,53.83301,-2,16,171
2024-10-23 19:16:41.4,-0.76701,0.34678,9.11129,-5.43024,-1.44615,-7.22117,7.20215,7.32422,-31.25000,545,-675,636,4126,8975,12466,-3931,-5.27701,-1.93937,-7.60904,-34.97314,39.61182,40.34424,1,17,173
2024-10-23 19:16:41.5,0.39914,1.31855,11.03915,-7.71918,0.26816,-8.00650,6.04248,5.12695,-31.73828,254,-837,72,5290,8986,11816,-4482,-6.89076,-0.01437,-7.01047,-5.92041,59.08203,22.27783,1,19,171
2024-10-23 19:16:41.6,-0.44141,1.31139,9.12502,-6.59866,-0.76617,-6.40711,2.13623,4.27246,-29.96826,392,-1054,105,5516,8968,11475,-5090,-6.82851,-1.26897,-6.67527,-25.26855,62.07275,10.55908,4,23,172
2024-10-23 19:16:41.7,-0.63726,1.51567,8.24141,-6.64654,-1.03433,-5.03758,-0.67139,3.29590,-30.82275,429,-1915,166,6247,8728,10812,-6026,-7.55637,-1.14447,-5.20518,-29.41895,115.84473,15.68604,6,31,168
2024-10-23 19:16:41.8,4.81877,0.52409,0.04423,-0.44055,4.82688,-0.06704,-5.55420,2.01416,-29.17480,341,-1190,2322,7000,8380,10064,-6923,-4.75027,0.91941,-2.35119,-24.35303,73.05908,142.94434,8,33,167
2024-10-23 19:16:41.9,2.03230,-6.52489,9.94391,-10.28586,4.06071,4.82688,-8.36182,-0.48828,-28.86963,580,2167,622,8193,9631,7955,-6728,-26.72024,1.91543,-19.80075,-36.13281,-132.75146,36.37695,8,33,168
2024-10-23 19:16:42.0,-1.09681,1.36749,12.03682,-11.63624,1.14926,-3.35200,-6.53076,1.22070,-29.47998,113,703,-66,8157,9665,7948,-6732,-12.02890,0.76617,-3.43820,-6.59180,-39.67285,-4.21143,9,31,170
2024-10-23 19:16:42.1,-0.67315,1.25843,9.55663,-9.20364,1.16841,-2.70076,-5.06592,1.34277,-28.56445,40,-363,-64,8185,9722,7769,-6823,-9.39518,1.09179,-2.82047,-3.84521,23.43750,-1.70898,10,30,168
2024-10-23 19:16:42.2,-0.17721,1.02101,8.47874,-8.16931,1.43657,-2.03993,-5.43213,0.73242,-27.70996,309,-285,254,8237,9695,7526,-7069,-9.05998,1.31207,-2.29373,-19.47021,17.15088,18.18848,10,34,169
2024-10-23 19:16:42.3,-0.77711,0.66717,9.51524,-9.34730,1.39826,-1.50361,-6.53076,-1.22070,-27.52686,107,-451,261,8378,9814,7116,-7161,-9.64898,1.37432,-1.88670,-7.50732,28.32031,17.57812,12,37,169
2024-10-23 19:16:42.4,-0.36188,0.56616,8.65664,-8.47578,1.62812,-0.94814,-7.99561,-1.22070,-27.09961,34,-505,93,8510,9693,6842,-7432,-9.11745,1.54671,-1.34080,-2.38037,30.27344,8.97217,10,35,167
2024-10-23 19:16:42.5,-1.00826,2.60582,5.01402,-5.02800,-0.07662,-2.76780,-9.64355,-1.22070,-25.45166,486,1109,-170,8455,9797,6795,-7403,-2.58104,-0.05746,0.79969,-34.79004,-86.30371,-14.16016,13,34,168
2024-10-23 19:16:42.6,1.29433,-2.49657,15.40690,-14.65304,4.03198,-3.78297,-6.22559,-1.83105,-27.83203,1400,3780,-332,6485,10986,8053,-6390,-17.77519,5.86600,-5.80854,-62.37793,-166.44287,-4.33350,17,18,171
2024-10-23 19:16:42.7,-0.30804,0.98541,8.49227,-7.26906,0.58421,-4.47253,2.62451,-3.96729,-25.57373,170,-60,-358,6103,11221,8118,-6276,-7.64256,0.50280,-4.91787,-12.20703,9.33838,-19.40918,17,19,172
2024-10-23 19:16:42.8,-0.05708,1.00630,8.45324,-7.11582,0.78533,-4.60661,2.99072,-4.08936,-26.55029,102,366,228,6009,11289,8121,-6239,-7.12061,1.19714,-4.34803,-5.98145,-23.43750,13.42773,18,19,171
2024-10-23 19:16:42.9,-0.87420,0.65570,9.86074,-8.38000,0.22985,-5.30574,3.96729,-4.08936,-25.75684,67,342,48,5752,11451,8331,-5901,-7.70482,0.83321,-5.13335,-4.88281,-25.39062,1.64795,17,16,171
2024-10-23 19:16:43.0,-0.53164,0.77416,9.95989,-8.15015,0.44055,-5.78460,6.53076,-4.39453,-25.39062,45,175,-186,5569,11503,8490,-5746,-8.14536,-0.33520,-6.33050,-4.21143,2.62451,-6.65283,15,15,171
