Time,BNO055_ARX,BNO055_ARY,BNO055_ARZ,BNO055_AX,BNO055_AY,BNO055_AZ,BNO055_GX,BNO055_GY,BNO055_GZ,BNO055_MX,BNO055_MY,BNO055_MZ,BNO055_Q0,BNO055_Q1,BNO055_Q2,BNO055_Q3,MPU9250_AX,MPU9250_AY,MPU9250_AZ,MPU9250_GX,MPU9250_GY,MPU9250_GZ,MPU9250_MX,MPU9250_MY,MPU9250_MZ
2024-05-14 14:20:14.0,0.12788,0.23860,9.09893,3.89790,1.04391,-8.15973,-4.27246,14.89258,-14.22119,237,114,-555,-3894,-5109,15066,-413,3.91705,1.49404,-9.10787,-12.93945,-6.10352,-35.88867,-421,18,-94
2024-05-14 14:20:14.1,0.11494,0.20948,9.52730,4.07987,1.16841,-8.53324,-5.73730,14.52637,-15.01465,165,11,-635,-3885,-5689,14858,-460,4.06071,1.52756,-9.58673,-8.78906,0.36621,-40.22217,-417,20,-95
2024-05-14 14:20:14.2,0.26695,0.19026,9.26703,3.74467,1.12053,-8.40874,-5.73730,14.52637,-15.80811,190,-38,-630,-3790,-6244,14659,-457,3.75424,1.48446,-9.18927,-10.80322,2.99072,-39.91699,-417,20,-93
2024-05-14 14:20:14.3,0.19585,0.24655,9.56398,3.85959,1.24503,-8.66732,-7.08008,13.85498,-15.80811,412,238,-831,-3761,-6843,14391,-587,3.90269,1.69037,-9.47659,-23.13232,-14.77051,-52.79541,-418,21,-93
2024-05-14 14:20:14.4,0.00657,0.41788,9.86025,4.06071,1.50361,-8.86844,-8.17871,13.18359,-16.17432,448,258,-972,-3815,-7629,13963,-842,4.07987,1.69037,-9.95066,-24.53613,-15.80811,-60.72998,-417,25,-94
2024-05-14 14:20:14.5,0.03717,0.42837,9.07657,3.73509,1.42700,-8.15973,-9.94873,12.08496,-17.15088,178,139,-506,-3861,-8246,13586,-982,3.67284,1.34559,-9.22279,-9.09424,-7.26318,-31.31104,-412,26,-91
2024-05-14 14:20:14.6,0.35884,0.53899,9.93635,3.93621,1.32165,-9.05041,-9.82666,11.41357,-17.08984,238,87,-353,-3868,-8522,13407,-1053,3.96015,1.93937,-10.01770,-13.91602,-4.33350,-23.37646,-414,25,-93
2024-05-14 14:20:14.7,-0.20820,0.54723,9.56290,3.91705,1.52277,-8.60986,-9.46045,10.98633,-17.45605,778,92,-784,-3701,-9011,13105,-1342,4.05113,2.21232,-9.55321,-43.21289,-6.34766,-47.79053,-409,25,-91
2024-05-14 14:20:14.8,-0.96069,0.25449,9.37382,4.16606,1.82924,-8.25550,-10.80322,9.94873,-17.45605,756,94,-1013,-3441,-9793,12559,-1726,4.19958,2.01599,-9.19406,-45.41016,-6.65283,-64.88037,-411,28,-90
2024-05-14 14:20:14.9,-0.72689,0.21693,9.13963,3.98409,1.60896,-8.10227,-11.23047,7.08008,-18.55469,233,62,-499,-3383,-10339,12112,-1847,3.91705,1.62333,-9.01210,-14.46533,-2.99072,-34.30176,-407,28,-89
2024-05-14 14:20:15.0,-0.32491,0.54684,9.16288,3.61058,1.37911,-8.33212,-11.41357,7.01904,-19.10400,362,137,-684,-3395,-10659,11829,-1835,3.62974,2.10218,-9.22279,-18.31055,-7.93457,-40.16113,-404,27,-88
2024-05-14 14:20:15.1,-0.54321,0.59303,9.13306,3.39989,1.56108,-8.37043,-11.77979,5.92041,-18.31055,591,-21,-1047,-3229,-11260,11294,-1912,3.44298,2.07345,-9.54842,-33.56934,-1.15967,-64.51416,-402,26,-88
2024-05-14 14:20:15.2,-0.55115,0.26665,9.17543,3.38073,1.60896,-8.39916,-11.29150,3.78418,-19.04297,434,-25,-1183,-2987,-11970,10618,-1867,3.43341,1.87233,-9.05998,-25.39062,3.35693,-74.09668,-399,26,-87
2024-05-14 14:20:15.3,-0.32608,0.04982,9.51044,3.71593,1.51319,-8.62901,-12.75635,1.15967,-17.45605,454,237,-1074,-2931,-12573,9887,-2004,3.71115,2.00641,-9.52447,-27.58789,-12.57324,-68.84766,-398,26,-88
2024-05-14 14:20:15.4,-0.48839,0.22036,8.86808,3.16046,1.48446,-8.16931,-11.23047,-0.54932,-18.92090,636,10,-1311,-2741,-13203,9053,-2156,3.14130,1.95374,-9.68250,-36.98730,4.51660,-85.51025,-393,28,-87
2024-05-14 14:20:15.5,-0.82987,0.61970,10.04502,2.51879,1.61854,-9.64419,-10.80322,-2.80762,-17.27295,571,-619,-1397,-2278,-13907,8126,-1953,2.30330,1.87233,-10.67852,-29.29688,37.47559,-88.07373,-389,27,-88
2024-05-14 14:20:15.6,-1.59491,1.89795,10.10964,0.55547,1.35996,-10.30501,-10.31494,-4.27246,-15.19775,616,-93,-1482,-1936,-14452,7273,-1714,0.30168,2.25063,-10.69289,-42.90771,2.31934,-100.95215,-389,27,-88
2024-05-14 14:20:15.7,-2.66280,1.18655,8.78256,-0.43097,1.52277,-9.11745,-8.85010,-7.32422,-14.83154,1083,-164,-2425,-1319,-15205,5684,-1789,-0.14366,2.33204,-10.05122,-56.88477,5.67627,-159.30176,-383,24,-92
2024-05-14 14:20:15.8,-2.92092,-0.47848,10.75230,-0.02873,2.03036,-10.96583,-7.50732,-10.31494,-13.18359,1221,-318,-2874,-684,-15930,3345,-1735,0.39266,1.83402,-11.97144,-74.89014,20.69092,-174.62158,-378,16,-91
2024-05-14 14:20:15.9,-0.68963,-3.21758,11.54235,2.17401,2.56668,-11.52131,-2.01416,-13.36670,-9.52148,1553,-29,-1410,373,-16239,1325,-1684,2.20274,1.62812,-12.21565,-93.01758,-1.77002,-81.11572,-376,13,-95
2024-05-14 14:20:16.0,2.42782,-4.71266,9.42394,4.99927,2.48048,-9.26110,1.15967,-15.86914,-6.40869,1186,185,406,1604,-16172,825,-1908,4.74548,1.66164,-10.88443,-65.30762,-7.99561,29.54102,-374,13,-101
2024-05-14 14:20:16.1,4.01695,-2.73498,6.20685,5.79417,0.33520,-5.33447,0.36621,-16.84570,-3.29590,69,749,960,1963,-16056,1618,-2042,5.86600,1.48925,-5.94262,-7.87354,-43.15186,53.71094,-371,14,-101
2024-05-14 14:20:16.2,2.24561,-3.47540,7.66476,4.55872,1.18757,-7.32652,-1.03760,-16.29639,-4.08936,-1463,-949,752,1442,-16069,2226,-1787,4.57309,1.44615,-7.55158,89.17236,61.64551,46.75293,-375,15,-101
2024-05-14 14:20:16.3,0.92225,-1.93688,10.67521,2.88272,1.13010,-10.43909,-2.80762,-15.86914,-5.92041,-1687,-305,713,81,-16079,2960,-1063,2.40386,2.00641,-12.02411,96.74072,21.78955,42.54150,-378,20,-94
2024-05-14 14:20:16.4,-2.48568,1.35611,11.25971,-1.48446,0.71829,-11.49258,-5.73730,-13.73291,-9.76562,-1070,31,-532,-911,-16032,3156,-794,-2.82047,1.01518,-12.73761,71.16699,2.13623,-34.24072,-378,20,-91
2024-05-14 14:20:16.5,-4.57045,3.84552,8.80492,-4.75984,0.53632,-9.50053,-3.96729,-12.26807,-12.20703,-1172,-188,826,-2172,-15913,3212,-416,-5.18603,-0.73744,-8.04480,60.79102,13.36670,56.57959,-381,22,-89
2024-05-14 14:20:16.6,-4.00077,3.57651,5.36639,-4.30014,0.33520,-6.24430,-5.37109,-9.52148,-14.16016,192,557,815,-2336,-15668,4116,-745,-4.06550,2.47569,-6.86682,0.00000,-39.79492,29.35791,-384,20,-88
2024-05-14 14:20:16.7,-2.49716,2.94063,10.58097,-1.23545,1.52277,-11.09034,-5.61523,-8.54492,-14.22119,251,354,-854,-2595,-15703,3711,-1157,-0.72307,2.02078,-13.42716,-22.15576,-16.29639,-53.89404,-385,19,-89
2024-05-14 14:20:16.8,1.41799,-0.00137,13.06999,3.92663,2.49006,-12.29706,-4.15039,-9.27734,-13.85498,737,-165,-282,-2236,-15857,3229,-1251,4.43422,2.50921,-13.53730,-49.56055,19.71436,-13.54980,-382,16,-89
2024-05-14 14:20:16.9,7.78588,-1.80361,10.97678,9.87404,0.17239,-9.31857,-4.15039,-11.41357,-13.18359,1958,510,-812,-1235,-16020,2899,-1366,8.63380,2.12613,-9.39039,-139.09912,-46.26465,-72.38770,-378,15,-91
2024-05-14 14:20:17.0,2.21324,-3.41480,8.40931,4.59703,2.07824,-7.86284,-1.34277,-14.34326,-9.03320,1238,-284,-29,531,-16172,1905,-1726,3.94579,0.72307,-6.57950,-60.66895,3.41797,13.24463,-376,15,-97
2024-05-14 14:20:17.1,-0.17133,-2.55512,7.15332,2.19317,1.46530,-7.12540,-1.70898,-15.50293,-6.83594,-435,-347,1652,831,-16018,2765,-1874,2.20274,1.95374,-9.51011,24.47510,27.89307,99.85352,-374,20,-97
2024-05-14 14:20:17.2,-2.99555,-1.37916,9.58183,-0.69913,1.42700,-10.00812,-4.94385,-15.13672,-7.99561,-870,-50,-5,632,-15923,3557,-1357,-1.33122,2.30809,-10.18530,55.78613,3.78418,-2.44141,-376,22,-98
2024-05-14 14:20:17.3,-4.55153,1.43878,8.47158,-3.36158,1.08222,-9.05998,-6.34766,-14.40430,-9.82666,-2121,-13,-62,-690,-15938,3549,-1154,-3.94579,0.35914,-9.59630,128.84521,5.73730,-0.48828,-381,22,-93
2024-05-14 14:20:17.4,-3.18747,3.78070,9.16552,-2.71033,0.61294,-10.03685,-5.61523,-11.29150,-13.67188,-1429,532,819,-2337,-15664,4060,-1059,-2.98328,1.27376,-10.67373,84.47266,-28.25928,50.90332,-384,20,-87
2024-05-14 14:20:17.5,-1.27873,4.39010,9.92851,-0.53632,0.45013,-10.90837,-5.37109,-8.36182,-16.11328,-417,435,-943,-3230,-15460,4147,-1335,0.16281,2.52358,-12.53170,25.51270,-24.47510,-60.60791,-388,16,-87
2024-05-14 14:20:17.6,1.86215,0.78603,11.39348,4.07029,2.17401,-10.61148,-3.47900,-9.15527,-14.89258,1232,273,-1034,-2925,-15782,2975,-1396,4.20437,1.39348,-10.76950,-72.44873,-18.61572,-64.39209,-385,16,-87
2024-05-14 14:20:17.7,5.92872,-1.61825,7.89826,7.94903,1.16841,-5.96656,-0.97656,-10.98633,-13.73291,2449,427,-1255,-1719,-16029,2237,-1886,7.77664,3.47650,-7.81016,-143.31055,-24.59717,-102.11182,-379,13,-89
2024-05-14 14:20:17.8,1.84087,-2.75390,9.23761,4.10860,2.63372,-8.51408,0.85449,-13.91602,-10.00977,1071,-502,-21,-211,-16257,958,-1786,3.41425,1.01518,-9.61546,-43.64014,26.48926,14.40430,-377,12,-95
2024-05-14 14:20:17.9,-1.05749,-1.60168,10.45848,1.43657,1.95374,-10.35290,0.54932,-14.70947,-8.97217,-637,-254,2334,-312,-16167,2116,-1576,1.21151,2.57625,-13.50378,29.05273,31.61621,146.66748,-377,16,-94
2024-05-14 14:20:18.0,-2.88022,-0.36727,8.63232,-1.50361,1.23545,-8.89717,-4.45557,-14.34326,-9.33838,353,-504,-113,35,-16017,3312,-955,-1.72389,2.99765,-8.36085,-15.74707,17.76123,-24.96338,-377,22,-96
2024-05-14 14:20:18.1,-1.99494,-0.84762,7.80931,-0.51717,1.33122,-7.97776,-4.45557,-15.01465,-9.76562,-239,395,-313,-52,-16108,2774,-1125,-0.90025,0.36872,-8.87802,15.56396,-22.15576,-10.25391,-376,18,-95
2024-05-14 14:20:18.2,-2.10046,-0.09042,9.87604,-0.41182,1.19714,-10.01770,-4.88281,-13.67188,-10.25391,-873,-59,473,-508,-16048,3047,-1165,-0.75659,1.71431,-10.80302,53.28369,5.18799,28.93066,-379,17,-92
2024-05-14 14:20:18.3,-1.40368,1.21185,8.81728,-0.25858,0.76617,-8.97379,-4.08936,-12.20703,-11.29150,-1348,525,70,-1463,-15941,3311,-1109,-0.51717,1.14447,-10.60190,81.72607,-27.77100,5.43213,-381,19,-89
2024-05-14 14:20:18.4,-0.34177,2.00739,7.73635,0.56505,0.43097,-7.96819,-4.88281,-11.10840,-14.34326,-846,548,-482,-2502,-15819,3223,-1237,0.54111,1.35996,-9.30899,53.10059,-30.94482,-28.25928,-384,17,-87
2024-05-14 14:20:18.5,0.56890,1.58971,9.04833,1.65685,1.13010,-8.98337,-2.31934,-9.76562,-16.60156,310,-672,-1093,-2712,-15930,2505,-1025,1.75741,0.46928,-10.71683,-17.08984,39.42871,-68.78662,-385,15,-89
2024-05-14 14:20:18.6,0.61019,0.74661,11.90992,1.57065,2.16444,-11.64581,-3.41797,-10.80322,-14.34326,741,-396,326,-2192,-16076,2218,-522,1.16362,1.61375,-12.76634,-44.86084,24.78027,15.62500,-382,17,-88
2024-05-14 14:20:18.7,1.25608,-0.49476,12.50618,2.38471,1.91543,-12.20129,-3.78418,-11.59668,-13.67188,1185,-70,752,-1343,-16073,2842,-457,2.38471,3.81171,-12.43114,-71.47217,5.31006,43.09082,-380,21,-89
2024-05-14 14:20:18.8,0.47946,-2.75135,9.31508,2.34640,2.08782,-9.20364,-4.45557,-14.16016,-10.25391,2137,307,-774,161,-16128,2732,-912,2.43738,3.40468,-9.77348,-127.19727,-21.17920,-49.19434,-376,20,-94
2024-05-14 14:20:18.9,0.53988,-3.02693,5.23105,2.09740,1.77177,-5.41109,-3.41797,-14.83154,-8.36182,1308,390,-478,1417,-16137,1962,-1477,1.95374,1.49404,-5.69361,-67.44385,-26.85547,-27.77100,-374,17,-100
2024-05-14 14:20:19.0,-0.73994,-3.23425,8.10980,1.81966,2.04951,-8.32254,-1.95312,-17.08984,-6.10352,-1376,428,-55,1042,-16133,1844,-1920,1.43657,1.55629,-11.30104,91.49170,-16.29639,1.89209,-373,13,-96
2024-05-14 14:20:19.1,-4.62145,0.42317,11.21146,-2.32725,1.46530,-11.81820,-0.85449,-15.99121,-8.85010,-2196,-655,967,-551,-16106,2551,-1489,-2.85878,1.89149,-12.91957,130.55420,49.49951,58.71582,-379,17,-92
2024-05-14 14:20:19.2,-3.69439,2.93700,7.07516,-3.38073,0.52674,-7.78622,-3.41797,-13.85498,-12.57324,-1643,-32,499,-2151,-15888,3260,-864,-3.81171,0.77096,-8.34648,95.45898,5.00488,31.61621,-383,20,-89
2024-05-14 14:20:19.3,-2.80049,4.96460,11.93198,-2.48048,1.02475,-12.94830,-4.88281,-9.82666,-14.40430,-597,219,-276,-3041,-15701,3480,-753,-2.90666,2.01120,-13.72405,33.56934,-13.30566,-20.99609,-385,20,-87
2024-05-14 14:20:19.4,1.97464,1.64807,15.11112,4.07029,2.65287,-14.53811,-4.08936,-9.27734,-16.47949,818,193,-187,-2922,-15789,3098,-1011,3.62974,2.79653,-16.29073,-51.33057,-9.15527,-11.59668,-386,16,-86
2024-05-14 14:20:19.5,4.93165,-3.26799,9.29723,7.80538,2.71991,-7.28821,-2.99072,-10.31494,-15.31982,4507,2236,-2077,-1221,-16059,2281,-1959,9.04083,0.67519,-10.66415,-249.26758,-147.82715,-132.01904,-377,11,-93
2024-05-14 14:20:19.6,1.04670,-3.20444,5.19928,2.85399,1.79093,-5.20039,1.22070,-15.01465,-8.48389,1946,-1039,637,1694,-16098,1317,-2165,2.94018,1.24024,-5.12856,-130.85938,63.04932,28.68652,-372,13,-103
2024-05-14 14:20:19.7,-2.51216,-3.77599,9.43139,0.70871,2.00162,-10.24755,1.34277,-17.76123,-2.99072,-1279,163,689,1631,-16050,2006,-2038,0.71829,3.35200,-11.70806,76.17188,-10.43701,46.08154,-372,14,-102
2024-05-14 14:20:19.8,-4.83505,-1.03052,8.35458,-2.44217,1.74304,-9.23237,-0.06104,-17.82227,-5.37109,-2097,41,-36,282,-16121,2260,-1837,-3.06948,1.49404,-11.35850,118.95752,0.24414,-1.89209,-376,16,-94
2024-05-14 14:20:19.9,-4.13061,2.57120,6.87990,-3.32327,0.61294,-7.71918,-0.73242,-15.99121,-9.15527,-2464,-65,993,-1986,-15948,2923,-1274,-3.75424,-0.43576,-7.34567,152.95410,14.64844,58.16650,-381,16,-88
2024-05-14 14:20:20.0,-3.60103,5.52389,9.13659,-3.34242,0.56505,-10.74556,-2.92969,-12.08496,-14.83154,-1282,-45,1003,-3306,-15467,4097,-1223,-3.57228,2.62414,-12.09594,77.33154,5.43213,69.51904,-386,17,-85
2024-05-14 14:20:20.1,0.54193,5.28372,15.64903,2.59541,2.09740,-16.18538,-3.29590,-9.27734,-16.29639,218,910,-1285,-3934,-15426,3626,-1358,3.05990,3.00244,-17.94279,0.18311,-55.11475,-76.66016,-388,16,-83
2024-05-14 14:20:20.2,11.25883,-1.97758,9.12639,13.73363,1.10137,-4.91308,-1.83105,-9.76562,-17.27295,3839,2341,-2294,-2423,-15912,1919,-2384,13.98743,0.47886,-6.34007,-202.75879,-144.77539,-143.67676,-382,8,-88
2024-05-14 14:20:20.3,0.96334,-2.95760,8.12569,3.86917,2.37513,-7.42229,4.27246,-12.93945,-11.90186,2011,-235,1621,163,-16125,1419,-2527,3.86917,1.30728,-6.11980,-134.70459,28.80859,85.26611,-374,13,-96
2024-05-14 14:20:20.4,-2.91768,-1.99808,8.35547,0.65125,1.16841,-8.97379,1.70898,-17.33398,-7.50732,736,-576,1853,1128,-15863,2818,-2752,0.99602,4.78857,-10.97062,-52.73438,40.58838,105.52979,-375,18,-100
2024-05-14 14:20:20.5,-4.16121,-2.25688,5.51340,-1.64727,1.67600,-6.87639,-1.70898,-17.33398,-4.88281,-388,269,-1999,1674,-15966,1974,-2613,-1.54671,2.40386,-8.01128,31.79932,-16.72363,-123.59619,-371,16,-102
2024-05-14 14:20:20.6,-5.65207,0.14867,8.73833,-2.51879,1.48446,-9.98897,0.73242,-17.82227,-4.88281,-2873,-272,316,-736,-16090,1529,-2583,-2.64808,-0.90025,-9.49095,140.74707,39.85596,67.56592,-379,9,-93
2024-05-14 14:20:20.7,-4.36990,3.14932,9.12316,-2.03036,0.73744,-10.37205,1.03760,-14.64844,-11.71875,-2331,198,1636,-2179,-15805,2961,-2263,-1.71431,2.37513,-12.30664,147.88818,-18.67676,81.66504,-384,15,-86
2024-05-14 14:20:20.8,-0.60715,5.47564,12.47519,2.00162,0.63209,-13.47505,-1.03760,-11.10840,-15.62500,-1275,191,-678,-3810,-15382,3529,-2205,3.46693,3.19398,-15.35217,65.12451,-11.96289,-58.95996,-388,13,-82
2024-05-14 14:20:20.9,23.04527,-2.44734,11.15860,25.42733,-1.11095,-3.71593,-0.67139,-8.66699,-18.61572,2723,605,-1681,-3503,-15680,2226,-2311,18.32587,0.14366,-4.52999,-144.53125,-57.12891,-120.97168,-384,10,-83
2024-05-14 14:20:21.0,1.62325,-1.45526,13.05351,5.94741,3.24665,-11.36808,3.17383,-11.23047,-15.19775,1917,-598,812,-1485,-16069,988,-2655,4.93223,1.07743,-10.31938,-110.96191,28.86963,65.79590,-378,9,-89
2024-05-14 14:20:21.1,-1.44791,-1.84077,9.71079,2.82526,1.78135,-9.41434,2.13623,-15.31982,-12.08496,835,532,2457,-125,-15905,2422,-3095,2.43738,4.07029,-13.75279,-73.05908,-12.63428,141.35742,-378,16,-94
2024-05-14 14:20:21.2,-2.79245,-2.31131,5.13946,-0.17239,1.39826,-6.12938,-1.46484,-17.08984,-8.78906,1813,-527,-1812,1895,-15841,2324,-2918,0.16760,3.36158,-4.41028,-87.64648,15.56396,-131.28662,-375,16,-102
2024-05-14 14:20:21.3,-4.00900,-3.46874,6.66749,-0.67040,2.48048,-8.12142,0.85449,-19.53125,-3.60107,-2717,277,-1766,1171,-15966,329,-3472,-1.60896,-1.27855,-13.14464,186.88965,1.58691,-79.65088,-373,8,-100
2024-05-14 14:20:21.4,-4.80180,0.52173,8.27868,-1.52277,1.13010,-9.39518,5.06592,-16.35742,-8.97217,-2290,-756,2101,-1016,-16032,1348,-2928,-1.41263,1.01039,-7.97298,132.38525,44.49463,133.54492,-380,9,-91
