Time,BNO055_AX,BNO055_AY,BNO055_AZ
2015-06-12 14:11:26.386041,-600,428,600
2015-06-12 14:11:26.485490,-600,460,716
2015-06-12 14:11:26.584939,-632,460,776
2015-06-12 14:11:26.684388,-640,440,740
2015-06-12 14:11:26.783837,-644,484,684
2015-06-12 14:11:26.883286,-608,604,560
2015-06-12 14:11:26.982735,-560,624,588
2015-06-12 14:11:27.082184,-552,588,648
2015-06-12 14:11:27.181633,-564,492,628
2015-06-12 14:11:27.281082,-616,440,804
2015-06-12 14:11:27.380531,-580,444,716
2015-06-12 14:11:27.479980,-604,540,696
2015-06-12 14:11:27.579429,-612,540,636
2015-06-12 14:11:27.678878,-624,468,560
2015-06-12 14:11:27.778327,-660,444,592
2015-06-12 14:11:27.877776,-680,460,624
2015-06-12 14:11:27.977225,-684,456,636
2015-06-12 14:11:28.076674,-696,480,608
2015-06-12 14:11:28.176123,-744,384,508
2015-06-12 14:11:28.275572,-776,444,516
2015-06-12 14:11:28.375021,-824,444,464
2015-06-12 14:11:28.474470,-832,436,436
2015-06-12 14:11:28.573919,-852,444,420
2015-06-12 14:11:28.673368,-848,420,456
2015-06-12 14:11:28.772817,-848,400,448
2015-06-12 14:11:28.872266,-812,376,556
2015-06-12 14:11:28.971715,-808,392,364
2015-06-12 14:11:29.071164,-808,376,404
2015-06-12 14:11:29.170613,-824,388,484
2015-06-12 14:11:29.270062,-820,376,364
2015-06-12 14:11:29.369511,-852,344,444
2015-06-12 14:11:29.468960,-856,384,436
2015-06-12 14:11:29.568409,-836,420,468
2015-06-12 14:11:29.667858,-812,448,584
2015-06-12 14:11:29.767307,-828,400,484
2015-06-12 14:11:29.866756,-824,432,580
2015-06-12 14:11:29.966205,-792,400,516
2015-06-12 14:11:30.065654,-820,368,452
2015-06-12 14:11:30.165103,-824,396,528
2015-06-12 14:11:30.264552,-808,408,508
2015-06-12 14:11:30.364001,-804,380,484
2015-06-12 14:11:30.463450,-808,400,588
2015-06-12 14:11:30.562899,-824,448,548
2015-06-12 14:11:30.662348,-808,460,520
2015-06-12 14:11:30.761797,-728,388,648
2015-06-12 14:11:30.861246,-712,384,580
2015-06-12 14:11:30.960695,-684,476,676
2015-06-12 14:11:31.060144,-680,460,680
2015-06-12 14:11:31.159593,-620,452,716
2015-06-12 14:11:31.259042,-540,412,768
