Time,BNO055_ARX,BNO055_ARY,BNO055_ARZ,BNO055_AX,BNO055_AY,BNO055_AZ,BNO055_GX,BNO055_GY,BNO055_GZ,BNO055_MX,BNO055_MY,BNO055_MZ,BNO055_Q0,BNO055_Q1,BNO055_Q2,BNO055_Q3,MPU9250_AX,MPU9250_AY,MPU9250_AZ,MPU9250_GX,MPU9250_GY,MPU9250_GZ,MPU9250_MX,MPU9250_MY,MPU9250_MZ
2024-05-14 14:35:25.0,6.43359,-3.57985,8.35802,-1.67600,-5.95699,-9.26110,-0.24414,5.55420,-24.47510,627,364,817,-1894,-4327,15688,-125,-1.25940,-5.53080,-9.75433,-31.55518,-22.21680,51.57471,-9,14,259
2024-05-14 14:35:25.1,5.76750,-2.69408,7.56924,-1.12053,-5.57390,-8.09269,-0.24414,4.08936,-23.31543,949,1053,-177,-2324,-4361,15592,-949,-0.43097,-5.26743,-8.73915,-51.94092,-62.80518,-9.33838,-6,11,261
2024-05-14 14:35:25.2,2.98211,0.15387,6.42898,-0.25858,-2.20274,-6.73274,1.83105,2.62451,-24.47510,208,-213,144,-2472,-4636,15434,-1622,0.07662,-2.86836,-8.09748,-9.27734,13.91602,10.49805,-3,12,262
2024-05-14 14:35:25.3,3.21483,-2.85992,7.84276,1.13968,-4.71196,-7.51806,2.62451,1.15967,-23.62061,-552,-825,-117,-2080,-4699,15508,-1235,2.08303,-5.89952,-8.16931,35.27832,52.36816,-5.85938,-6,14,263
2024-05-14 14:35:25.4,1.97405,-5.48241,9.94528,3.67762,-5.57390,-9.39518,1.15967,2.99072,-23.62061,-597,-375,-127,-1700,-4957,15515,-510,4.20916,-6.00966,-7.49412,39.12354,25.87891,-7.56836,-3,17,263
2024-05-14 14:35:25.5,2.74822,-5.02207,7.49775,2.59541,-4.91308,-7.62341,1.22070,4.08936,-23.19336,-802,192,162,-2167,-5010,15447,162,2.93061,-5.86600,-8.03044,52.85645,-9.39941,8.11768,-9,13,262
2024-05-14 14:35:25.6,2.85835,-2.90042,6.64552,1.14926,-2.74864,-7.20202,0.06104,5.55420,-22.82715,-1152,389,651,-2589,-4637,15482,742,1.44136,-3.73030,-7.10624,73.97461,-21.24023,36.92627,-10,13,260
2024-05-14 14:35:25.7,5.64197,-6.06092,8.02428,1.25461,-5.53559,-10.03685,0.06104,7.69043,-22.46094,-998,266,389,-3238,-4144,15448,1456,1.99205,-5.85643,-11.05682,64.57520,-13.54980,21.54541,-14,11,259
2024-05-14 14:35:25.8,4.84917,-6.82175,7.44763,2.02078,-5.85164,-9.33772,3.78418,9.52148,-20.50781,419,85,175,-3246,-4077,15452,1580,2.44217,-6.76147,-9.10308,-20.62988,-3.84521,12.08496,-14,11,259
2024-05-14 14:35:25.9,3.93055,-3.48394,6.57383,0.94814,-3.39031,-7.64256,2.31934,8.48389,-20.87402,744,349,211,-3394,-3980,15498,937,1.31686,-3.52439,-8.06396,-39.67285,-20.81299,14.95361,-12,10,260
