timestamp,BNO055_AX,BNO055_AY,BNO055_AZ,BNO055_GX,BNO055_GY,BNO055_GZ,MPU9250_AX,MPU9250_AY,MPU9250_AZ,MPU9250_GX,MPU9250_GY,MPU9250_GZ
0,3.69678,-3.75424,-6.5795,-11.90186,-8.54492,-20.87402,4.07508,-4.48211,-6.90991,-35.82764,-13.73291,1.46484
100,4.37676,-5.31532,-5.38236,-10.80322,-9.33838,-20.56885,4.72153,-6.45979,-5.92347,44.49463,-37.71973,0.91553
200,1.77177,-5.67925,-6.19642,-11.47461,-9.33838,-20.56885,2.13092,-7.27863,-8.26987,49.49951,9.39941,-19.04297
300,1.70473,-6.21557,-9.3473,-8.97217,-8.30078,-20.08057,2.52837,-6.38796,-9.69207,-21.42334,25.93994,-25.26855
400,5.59305,-5.22912,-5.88037,-10.80322,-8.30078,-21.1792,6.04797,-5.96656,-4.92744,-84.59473,-6.5918,-17.63916
500,4.28099,-5.84206,-8.66732,-10.43701,-10.43701,-18.24951,3.94579,-7.69524,-9.00252,40.40527,-7.69043,44.31152
600,-0.39266,-5.43024,-5.06631,-11.77979,-10.43701,-20.08057,-0.04789,-4.66886,-6.12459,-40.95459,1.40381,5.7373
700,0.34478,-5.39193,-5.72713,-11.1084,-11.23047,-19.04297,0.73265,-5.34884,-6.7471,10.55908,60.30273,-20.62988
800,2.95934,-5.20039,-7.28821,-11.23047,-10.43701,-18.55469,4.69759,-6.27303,-7.30736,36.01074,80.26123,-56.39648
900,6.83808,-6.56992,-8.55239,-14.4043,-11.23047,-16.35742,6.85245,-7.91551,-4.88435,-12.08496,34.729,-45.77637
1000,2.0974,-7.02005,-6.98174,-14.83154,-11.90186,-15.625,2.01599,-8.23635,-7.47975,-9.15527,-8.17871,-3.479
1100,1.61854,-4.13733,-6.18684,-13.24463,-11.90186,-16.35742,1.88191,-3.79255,-6.93864,-30.45654,-19.22607,-14.77051
1200,1.41742,-5.31532,-5.9091,-12.45117,-13.67188,-15.625,1.95374,-7.05357,-7.43666,31.25,18.79883,-47.30225
1300,2.21232,-2.20274,-5.4494,-12.45117,-14.03809,-15.99121,3.17961,-3.6441,-7.70003,68.2373,20.81299,-42.29736
1400,6.31134,-8.0065,-8.5907,-11.1084,-13.3667,-16.6626,6.26346,-5.33447,-8.38479,-10.80322,9.21631,-8.30078
1500,3.00722,-2.91145,-6.704,-11.1084,-12.93945,-17.45605,2.2219,-4.80773,-9.08871,35.21729,-37.90283,65.00244
1600,-0.00958,-5.98572,-8.06396,-10.31494,-12.57324,-17.57812,0.47886,-5.43982,-8.33691,-52.24609,0.54932,37.65869
1700,0.93856,-3.52439,-7.48933,-12.87842,-12.93945,-15.99121,1.37911,-1.97768,-8.74873,25.6958,13.67188,-4.08936
1800,4.52999,-3.103,-5.56432,-12.45117,-12.20703,-16.6626,4.67365,-4.35281,-4.84125,-24.23096,23.37646,-24.4751
1900,2.70076,-5.41109,-10.09431,-12.45117,-13.67188,-15.99121,3.18919,-5.27222,-9.73996,28.50342,-0.97656,-11.47461
2000,4.36718,-6.56992,-7.71918,-12.20703,-12.57324,-16.35742,4.80294,-8.75351,-7.74312,-90.33203,-16.41846,22.76611
2100,1.38869,-1.40784,-6.41669,-11.77979,-14.03809,-14.22119,1.64727,-0.75181,-8.22198,44.7998,-13.3667,33.3252
2200,1.29292,-10.45825,-11.28188,-14.70947,-13.67188,-15.31982,2.09261,-12.42156,-10.0177,50.72021,60.60791,-95.33691
2300,4.65449,-3.99367,-4.43422,-15.01465,-14.4043,-14.89258,5.04716,-4.11339,-4.95139,-38.45215,21.05713,-22.09473
2400,2.99765,-4.11817,-5.03758,-12.20703,-15.50293,-13.42773,3.21792,-5.33447,-5.83248,34.42383,-2.38037,-8.11768
2500,1.2163,-5.09504,-8.39916,-12.87842,-15.50293,-14.52637,1.52756,-5.27222,-9.69207,33.14209,7.08008,4.39453
2600,3.54354,-4.92265,-8.41831,-13.24463,-14.83154,-14.16016,3.84523,-6.5795,-7.40314,-27.28271,-18.18848,17.7002
2700,3.72551,-5.70798,-9.50053,-12.87842,-14.83154,-14.16016,4.33366,-6.55556,-10.12305,-35.88867,-49.19434,34.42383
2800,1.87712,-4.85561,-7.27863,-12.87842,-15.13672,-14.89258,2.16444,-5.46376,-7.6713,20.26367,7.75146,63.59863
2900,1.18757,-4.98012,-4.52999,-12.45117,-13.67188,-14.16016,1.30249,-4.89871,-4.21395,-49.19434,-16.47949,19.59229
3000,0.03831,-2.40386,-3.83086,-14.70947,-15.13672,-13.73291,0.17239,-1.96332,-5.37757,65.67383,-8.78906,-7.99561
3100,3.32327,-6.01445,-6.7902,-12.20703,-12.57324,-15.99121,4.0655,-5.67925,-7.96819,65.30762,-1.83105,-38.39111
3200,3.04553,-7.62341,-12.07678,-13.24463,-11.47461,-17.82227,3.49087,-9.51969,-12.51733,49.74365,32.77588,-18.61572
3300,2.90188,-2.02078,-5.55475,-14.34326,-11.90186,-17.45605,3.11257,-2.99765,-5.63136,-67.44385,4.45557,12.69531
3400,3.42862,-2.87314,-6.31134,-14.70947,-12.93945,-15.625,3.85959,-2.59062,-7.42708,-55.05371,-20.01953,43.94531
3500,1.18757,-5.20997,-7.47018,-12.87842,-12.57324,-16.11328,1.91064,-4.05113,-9.8501,110.47363,-9.76562,-7.01904
3600,1.17799,-5.66967,-6.53162,-13.5498,-11.23047,-16.35742,1.3839,-6.45021,-6.40232,-27.22168,-30.09033,-5.18799
3700,2.50921,-1.84839,-3.93621,-13.91602,-11.23047,-17.82227,2.73428,-1.53713,-4.65449,-16.41846,5.92041,-18.73779
3800,1.58023,-7.05836,-10.09431,-11.1084,-11.47461,-16.6626,1.87233,-6.32092,-10.33853,23.25439,26.61133,24.16992
3900,2.41344,-6.14853,-10.13262,-14.70947,-11.23047,-17.82227,2.8492,-5.89952,-10.32895,-39.18457,32.10449,10.80322
4000,5.06631,-2.66245,-8.15973,-13.5498,-12.20703,-16.6626,5.56911,-4.57309,-8.27944,-22.64404,-30.57861,11.23047
4100,2.05909,-5.56432,-8.39916,-13.91602,-12.20703,-16.78467,2.08303,-5.5739,-8.71042,-16.72363,-32.65381,20.99609
4200,0.74702,-7.06794,-6.52204,-11.41357,-11.77979,-17.45605,1.43178,-8.05917,-6.94822,-7.50732,-9.70459,-39.85596
4300,0.47886,-1.53234,-3.17004,-12.26807,-12.08496,-16.6626,0.59857,-2.55231,-5.80375,10.25391,54.74854,-24.41406
4400,1.3408,-6.81893,-9.65377,-13.91602,-13.91602,-15.50293,2.60498,-7.22596,-8.69605,59.99756,101.37939,-82.21436
4500,7.88199,-5.06631,-8.72478,-14.83154,-13.24463,-14.83154,8.06875,-6.92428,-8.0448,-0.24414,34.48486,-20.69092
4600,3.49566,-5.47813,-8.66732,-14.4043,-13.91602,-14.4043,3.73509,-6.73752,-7.47975,-67.13867,-52.30713,66.71143
4700,3.83086,-2.40386,-9.05041,-14.03809,-14.70947,-13.3667,4.04156,-3.72072,-10.96105,28.86963,-87.52441,72.32666
4800,-1.17799,-7.32652,-5.34405,-12.26807,-12.45117,-14.4043,-1.15405,-5.15251,-5.60263,-78.30811,-69.21387,77.75879
4900,-1.82924,-1.81966,-3.66805,-13.3667,-12.87842,-14.4043,-1.83402,-1.72868,-4.81252,22.52197,-26.30615,4.15039
5000,0.67998,-5.37278,-6.01445,-12.26807,-12.45117,-16.6626,3.20834,-11.1478,-6.1198,115.66162,7.75146,-63.65967
5100,4.66407,-7.84368,-10.92753,-13.3667,-10.74219,-19.04297,5.4494,-8.53324,-9.94108,4.82178,72.08252,-46.44775
5200,5.28659,-3.52439,-7.25948,-14.4043,-10.25391,-17.76123,5.5308,-5.31532,-7.7527,-11.2915,-14.16016,18.24951
5300,3.19877,-3.32327,-6.89555,-12.93945,-11.77979,-16.6626,3.99846,-3.49087,-8.89238,-12.20703,-19.9585,17.33398
5400,1.58981,-7.29779,-9.23237,-11.23047,-11.41357,-17.08984,1.51319,-8.83971,-9.58194,-8.54492,-36.56006,-17.39502
5500,0.65125,-4.06071,-4.12775,-11.23047,-11.1084,-17.45605,0.97208,-3.01201,-5.09025,-53.28369,6.46973,-43.396
5600,2.31767,-4.04156,-4.98012,-11.47461,-13.91602,-15.13672,2.52837,-3.36158,-3.62016,8.97217,58.71582,-33.99658
5700,4.83646,-5.55475,-5.20997,-10.00977,-14.34326,-14.83154,4.60182,-4.50126,-6.56035,44.55566,37.65869,-5.43213
5800,3.103,-8.23635,-10.82218,-11.90186,-13.24463,-15.19775,3.70636,-10.0991,-10.02249,31.12793,57.73926,-26.24512
5900,0.06704,-5.56432,-9.29941,-12.57324,-14.34326,-15.13672,0.39745,-5.53559,-10.31459,-8.72803,33.44727,19.89746
6000,3.103,-4.80773,-9.9315,-13.67188,-14.34326,-13.3667,3.60101,-5.4063,-10.53486,-83.98438,48.40088,15.86914
6100,2.96892,-8.52366,-5.3632,-15.13672,-15.01465,-10.13184,3.15567,-9.62025,-3.88353,-66.34521,31.12793,7.8125
6200,0.3352,-2.29852,-2.93061,-16.96777,-16.47949,-7.50732,0.27774,-2.08303,-3.36158,-19.71436,-17.8833,-14.5874
6300,1.99205,-5.13335,-4.65449,-15.13672,-16.47949,-7.87354,2.61935,-6.10064,-4.63055,73.73047,-30.2124,-80.44434
6400,4.75984,-6.73274,-8.32254,-11.90186,-16.47949,-11.59668,5.43024,-7.94903,-8.65774,102.96631,-22.03369,-57.73926
6500,3.57228,-7.10624,-9.97939,-10.31494,-16.11328,-14.52637,4.13254,-7.77186,-10.79823,-27.58789,13.12256,-9.27734
6600,1.63769,-3.27538,-6.40711,-10.31494,-16.47949,-12.69531,1.7191,-3.83086,-7.48933,-8.42285,-3.23486,20.26367
6700,2.94018,-8.23635,-9.14618,-10.74219,-17.45605,-11.96289,3.51481,-9.72559,-9.0935,-36.68213,15.31982,-4.02832
6800,5.75587,-6.43584,-6.20599,-12.20703,-17.82227,-10.80322,6.04797,-7.44623,-5.09983,-119.4458,6.95801,61.03516
6900,0.90025,-3.39031,-4.4438,-12.87842,-17.82227,-7.56836,1.05349,-2.73906,-4.61619,-34.85107,-35.70557,78.30811
7000,-1.50361,-7.04878,-6.95301,-16.17432,-17.08984,-7.08008,-1.3408,-7.80538,-7.58031,74.15771,3.479,-39.00146
7100,0.26816,-9.1366,-6.71358,-15.01465,-17.15088,-7.8125,1.31686,-9.4718,-7.39835,-2.92969,86.73096,-55.78613
7200,5.37278,-4.80773,-5.22912,-14.70947,-17.94434,-6.04248,6.02403,-4.71196,-5.43024,-33.20312,48.88916,-69.82422
7300,4.46295,-3.49566,-4.38633,-11.77979,-20.01953,-4.27246,4.64013,-4.02719,-3.96015,38.0249,-13.48877,-18.00537
7400,3.38073,-8.6769,-7.77664,-9.94873,-19.71436,-4.94385,3.72551,-10.03206,-6.67527,52.6123,-16.35742,-6.53076
