timestamp,BNO055_AX,BNO055_AY,BNO055_AZ,BNO055_GX,BNO055_GY,BNO055_GZ,MPU9250_AX,MPU9250_AY,MPU9250_AZ,MPU9250_GX,MPU9250_GY,MPU9250_GZ
0,-6.94343,2.08782,-7.2499,5.12695,-6.5918,-22.52197,-6.94343,1.676,-8.32733,90.82031,-83.8623,17.76123
100,2.15486,4.42464,-7.55637,5.92041,-10.74219,-17.33398,1.86276,4.67365,-7.88199,-27.28271,-5.37109,-56.21338
200,0.97687,4.79815,-7.68087,6.5918,-11.41357,-16.60156,0.59378,4.99927,-8.26508,-12.69531,-29.84619,-51.08643
300,0.47886,5.98572,-8.03523,9.0332,-10.74219,-14.70947,0.28731,6.89555,-8.5907,-5.49316,-62.74414,-53.83301
400,-0.20112,5.48771,-7.77664,12.69531,-10.43701,-14.70947,-0.06704,6.84287,-8.73436,11.16943,-72.02148,-125.18311
500,-2.11655,4.15648,-7.86284,15.86914,-9.15527,-13.67188,-1.87233,4.27141,-8.89717,0.42725,-60.4248,-178.83301
600,-1.24503,6.26346,-9.51011,18.43262,-5.5542,-12.45117,-1.19714,6.50767,-10.04164,-48.52295,-61.03516,-169.25049
700,-1.1301,6.77104,-10.71683,19.77539,-2.92969,-10.62012,-1.16362,6.96738,-11.41117,-49.92676,-51.2085,-167.78564
800,-0.26816,6.52204,-9.41434,18.73779,2.44141,-9.52148,-0.65125,6.26346,-11.21484,-30.82275,-39.85596,-125.06104
900,1.78135,6.5795,-8.07354,17.76123,4.76074,-9.94873,1.61375,6.14853,-8.6769,-17.94434,-24.41406,-65.979
1000,3.352,5.70798,-8.02565,16.11328,6.10352,-10.62012,3.1844,6.50767,-8.91154,-2.50244,-10.98633,-46.26465
1100,4.91308,5.25785,-7.49891,15.625,6.34766,-10.13184,4.68801,5.47334,-8.01128,-11.65771,-27.52686,-43.09082
1200,2.61456,4.779,-7.56595,15.19775,7.56836,-8.66699,2.4326,5.16208,-8.24592,-0.48828,-54.07715,-55.41992
1300,1.62812,1.8867,-6.84766,14.16016,8.97217,-8.17871,1.39826,1.74783,-8.61465,12.69531,-60.36377,-37.10938
1400,-0.45013,1.87712,-7.62341,14.03809,10.25391,-7.20215,-0.83321,1.73825,-9.08871,12.51221,26.48926,-12.39014
1500,-1.676,2.06866,-8.15015,13.24463,9.46045,-6.34766,-2.18838,1.57544,-8.65295,33.08105,39.85596,7.01904
1600,-1.69516,2.12613,-9.63461,12.57324,12.45117,-6.71387,-2.18359,2.86836,-9.94587,36.01074,6.83594,21.60645
1700,-0.37351,2.0112,-8.95463,13.24463,12.08496,-5.5542,-0.69434,3.16525,-10.19009,-18.79883,-9.76562,-33.26416
1800,0.57463,4.1086,-12.51733,11.90186,10.98633,-7.08008,-0.01437,3.13652,-14.21249,-39.85596,37.53662,-41.99219
1900,-0.38309,2.96892,-12.35452,10.00977,13.18359,-8.54492,-0.80927,4.12775,-11.37286,-59.57031,14.83154,11.35254
2000,2.04951,3.352,-10.38163,10.92529,9.94873,-10.80322,1.31686,2.40386,-10.89401,-119.81201,-3.2959,-50.72021
2100,1.23545,3.61058,-9.05998,9.76562,10.00977,-14.22119,0.7135,3.44298,-11.26752,-139.70947,10.31494,-2.86865
2200,0.20112,2.86357,-6.54119,9.0332,6.89697,-17.15088,-0.15802,4.24268,-6.5795,-113.15918,18.00537,9.46045
2300,-0.31605,3.04553,-5.39193,8.78906,4.88281,-18.12744,-0.63688,2.24584,-5.90431,59.75342,-19.53125,-44.06738
2400,-1.26418,3.74467,-11.89482,9.52148,7.8125,-16.8457,-1.92022,1.91064,-12.75197,249.63379,22.52197,97.10693
2500,-2.50921,2.65287,-12.95788,11.2915,11.41357,-9.76562,-2.66724,4.44859,-11.26273,234.74121,-24.53613,133.17871
