timestamp,BNO055_AX,BNO055_AY,BNO055_AZ,BNO055_GX,BNO055_GY,BNO055_GZ,MPU9250_AX,MPU9250_AY,MPU9250_AZ,MPU9250_GX,MPU9250_GY,MPU9250_GZ
0,3.78297,-2.36556,-8.26508,-3.11279,-20.38574,-12.87842,3.71115,-2.27457,-9.31378,-0.85449,1.64795,-0.54932
100,3.85001,-2.60498,-8.37043,-3.479,-20.01953,-11.71875,3.79734,-2.58104,-9.32814,-1.0376,1.15967,0.36621
200,3.83086,-2.37513,-8.18846,-4.27246,-19.28711,-12.45117,3.78297,-2.23626,-9.24195,-0.48828,1.64795,-0.97656
300,3.87875,-2.35598,-8.24592,-2.80762,-19.40918,-10.49805,3.80213,-2.27936,-9.35209,-2.13623,1.15967,-2.74658
400,3.76382,-2.45175,-8.21719,-3.479,-20.50781,-10.98633,3.74467,-2.32246,-9.27068,1.52588,-0.06104,0.36621
500,3.82128,-2.42302,-8.28423,-3.11279,-19.40918,-10.98633,3.7734,-2.35598,-9.33772,0.06104,2.0752,-3.41797
600,3.80213,-2.4709,-8.32254,-3.90625,-19.40918,-10.62012,3.72072,-2.43738,-9.36645,1.52588,1.58691,-0.85449
700,3.78297,-2.49006,-8.30339,-3.90625,-19.77539,-11.71875,3.74467,-2.32725,-9.32814,-1.09863,1.58691,-0.85449
800,3.87875,-2.44217,-8.2555,-3.90625,-19.40918,-10.49805,3.82128,-2.37992,-9.30899,0.24414,1.09863,-0.54932
900,3.74467,-2.46133,-8.28423,-2.80762,-19.77539,-10.62012,3.64889,-2.3464,-9.26589,0.42725,1.09863,-0.67139
1000,3.74467,-2.4326,-8.22677,-3.479,-19.77539,-11.71875,3.71115,-2.37513,-9.31378,0.97656,2.0752,-1.15967
1100,3.72551,-2.48048,-8.28423,-3.90625,-19.77539,-11.71875,3.68241,-2.265,-9.29941,-0.91553,-0.67139,0.06104
1200,3.84044,-2.38471,-8.28423,-3.479,-19.40918,-11.2915,3.78297,-2.31767,-9.29941,3.60107,0.61035,-0.97656
1300,3.66805,-2.49964,-8.38958,-3.479,-19.77539,-11.2915,3.59143,-2.37513,-9.46222,0.73242,1.89209,-1.28174
1400,3.85959,-2.40386,-8.22677,-3.90625,-20.50781,-10.62012,3.84044,-2.25542,-9.29941,0.73242,0.91553,-2.0752
1500,3.85959,-2.30809,-8.18846,-3.17383,-20.08057,-11.2915,3.83086,-2.16444,-9.18927,1.46484,1.28174,-3.2959
1600,3.76382,-2.40386,-8.42789,-3.479,-20.08057,-11.2915,3.71115,-2.34161,-9.53405,2.68555,0.48828,-0.12207
1700,3.72551,-2.31767,-8.26508,-3.90625,-19.77539,-11.71875,3.63932,-2.15486,-9.30899,0.36621,0.54932,-2.68555
1800,3.86917,-2.35598,-8.31296,-3.11279,-19.77539,-10.98633,3.81171,-2.26021,-9.32335,1.64795,1.89209,-0.48828
1900,3.82128,-2.39429,-8.28423,-3.479,-19.40918,-10.98633,3.76382,-2.30809,-9.35687,0.61035,0.67139,-2.01416
