timestamp,BNO055_AX,BNO055_AY,BNO055_AZ,BNO055_GX,BNO055_GY,BNO055_GZ,MPU9250_AX,MPU9250_AY,MPU9250_AZ,MPU9250_GX,MPU9250_GY,MPU9250_GZ
0,-300.0,664.0,700.0,,,,,,,,,
100,-316.0,652.0,748.0,,,,,,,,,
200,-392.0,588.0,668.0,,,,,,,,,
300,-328.0,644.0,880.0,,,,,,,,,
400,-320.0,644.0,796.0,,,,,,,,,
500,-304.0,636.0,772.0,,,,,,,,,
600,-316.0,620.0,788.0,,,,,,,,,
700,-292.0,640.0,900.0,,,,,,,,,
800,-236.0,648.0,808.0,,,,,,,,,
900,-220.0,704.0,692.0,,,,,,,,,
1000,-220.0,728.0,648.0,,,,,,,,,
1100,-204.0,684.0,756.0,,,,,,,,,
1200,-92.0,676.0,760.0,,,,,,,,,
1300,-168.0,752.0,728.0,,,,,,,,,
1400,-152.0,692.0,756.0,,,,,,,,,
1500,-168.0,692.0,780.0,,,,,,,,,
1600,-108.0,672.0,784.0,,,,,,,,,
1700,-96.0,704.0,780.0,,,,,,,,,
1800,-36.0,712.0,780.0,,,,,,,,,
1900,-68.0,712.0,820.0,,,,,,,,,
2000,-84.0,656.0,844.0,,,,,,,,,
2100,-180.0,628.0,724.0,,,,,,,,,
2200,-204.0,600.0,820.0,,,,,,,,,
2300,-212.0,664.0,760.0,,,,,,,,,
2400,-200.0,684.0,820.0,,,,,,,,,
2500,-168.0,628.0,848.0,,,,,,,,,
2600,-144.0,672.0,796.0,,,,,,,,,
2700,-104.0,668.0,812.0,,,,,,,,,
2800,-152.0,640.0,788.0,,,,,,,,,
2900,-152.0,640.0,780.0,,,,,,,,,
3000,-108.0,624.0,860.0,,,,,,,,,
3100,-144.0,664.0,780.0,,,,,,,,,
3200,-156.0,680.0,828.0,,,,,,,,,
3300,-160.0,632.0,780.0,,,,,,,,,
3400,-172.0,660.0,768.0,,,,,,,,,
3500,-164.0,680.0,808.0,,,,,,,,,
3600,-104.0,708.0,788.0,,,,,,,,,
3700,-76.0,696.0,772.0,,,,,,,,,
3800,-152.0,676.0,632.0,,,,,,,,,
3900,-212.0,656.0,732.0,,,,,,,,,
4000,-208.0,708.0,872.0,,,,,,,,,
4100,-208.0,688.0,812.0,,,,,,,,,
4200,-184.0,704.0,752.0,,,,,,,,,
4300,-184.0,672.0,756.0,,,,,,,,,
4400,-188.0,688.0,744.0,,,,,,,,,
4500,-172.0,688.0,792.0,,,,,,,,,
4600,-164.0,692.0,804.0,,,,,,,,,
4700,-184.0,724.0,896.0,,,,,,,,,
4800,-200.0,668.0,876.0,,,,,,,,,
4900,-204.0,628.0,832.0,,,,,,,,,
5000,-152.0,576.0,904.0,,,,,,,,,
5100,-148.0,544.0,804.0,,,,,,,,,
5200,-168.0,556.0,872.0,,,,,,,,,
5300,-180.0,556.0,856.0,,,,,,,,,
5400,-148.0,660.0,756.0,,,,,,,,,
5500,-136.0,632.0,776.0,,,,,,,,,
5600,-120.0,568.0,868.0,,,,,,,,,
5700,-96.0,556.0,896.0,,,,,,,,,
5800,-104.0,576.0,916.0,,,,,,,,,
5900,-28.0,576.0,852.0,,,,,,,,,
6000,-32.0,576.0,800.0,,,,,,,,,
6100,-52.0,580.0,940.0,,,,,,,,,
6200,-88.0,564.0,912.0,,,,,,,,,
6300,-52.0,508.0,844.0,,,,,,,,,
6400,-136.0,560.0,780.0,,,,,,,,,
6500,-256.0,716.0,672.0,,,,,,,,,
6600,-200.0,776.0,740.0,,,,,,,,,
6700,-172.0,640.0,800.0,,,,,,,,,
6800,-180.0,536.0,808.0,,,,,,,,,
6900,-224.0,632.0,792.0,,,,,,,,,
7000,-244.0,648.0,852.0,,,,,,,,,
7100,-268.0,668.0,872.0,,,,,,,,,
7200,-272.0,664.0,916.0,,,,,,,,,
7300,-256.0,644.0,856.0,,,,,,,,,
7400,-192.0,648.0,804.0,,,,,,,,,
7500,-172.0,632.0,784.0,,,,,,,,,
7600,-124.0,636.0,748.0,,,,,,,,,
7700,-80.0,684.0,804.0,,,,,,,,,
7800,-4.0,708.0,912.0,,,,,,,,,
7900,8.0,712.0,844.0,,,,,,,,,
8000,60.0,708.0,692.0,,,,,,,,,
8100,92.0,712.0,668.0,,,,,,,,,
8200,168.0,640.0,764.0,,,,,,,,,
8300,228.0,588.0,716.0,,,,,,,,,
8400,196.0,636.0,756.0,,,,,,,,,
8500,204.0,696.0,820.0,,,,,,,,,
8600,188.0,696.0,780.0,,,,,,,,,
8700,168.0,676.0,832.0,,,,,,,,,
8800,152.0,672.0,840.0,,,,,,,,,
8900,132.0,672.0,812.0,,,,,,,,,
9000,136.0,660.0,804.0,,,,,,,,,
9100,116.0,656.0,808.0,,,,,,,,,
9200,112.0,684.0,820.0,,,,,,,,,
9300,116.0,684.0,804.0,,,,,,,,,
9400,116.0,668.0,800.0,,,,,,,,,
9500,104.0,676.0,812.0,,,,,,,,,
9600,104.0,700.0,852.0,,,,,,,,,
9700,120.0,676.0,832.0,,,,,,,,,
9800,148.0,668.0,796.0,,,,,,,,,
9900,160.0,660.0,756.0,,,,,,,,,
10000,168.0,672.0,776.0,,,,,,,,,
10100,164.0,688.0,780.0,,,,,,,,,
10200,148.0,688.0,784.0,,,,,,,,,
10300,152.0,700.0,784.0,,,,,,,,,
10400,160.0,688.0,784.0,,,,,,,,,
10500,176.0,688.0,744.0,,,,,,,,,
10600,196.0,672.0,768.0,,,,,,,,,
10700,160.0,684.0,784.0,,,,,,,,,
10800,188.0,732.0,784.0,,,,,,,,,
10900,216.0,712.0,780.0,,,,,,,,,
11000,224.0,696.0,764.0,,,,,,,,,
11100,228.0,664.0,772.0,,,,,,,,,
11200,224.0,636.0,800.0,,,,,,,,,
11300,216.0,640.0,804.0,,,,,,,,,
11400,232.0,648.0,836.0,,,,,,,,,
11500,232.0,632.0,824.0,,,,,,,,,
11600,240.0,608.0,812.0,,,,,,,,,
11700,248.0,604.0,808.0,,,,,,,,,
11800,256.0,624.0,848.0,,,,,,,,,
11900,232.0,612.0,836.0,,,,,,,,,
12000,244.0,608.0,812.0,,,,,,,,,
12100,248.0,600.0,804.0,,,,,,,,,
12200,236.0,628.0,796.0,,,,,,,,,
12300,236.0,612.0,836.0,,,,,,,,,
12400,236.0,616.0,804.0,,,,,,,,,
12500,232.0,676.0,796.0,,,,,,,,,
12600,228.0,688.0,820.0,,,,,,,,,
12700,220.0,648.0,828.0,,,,,,,,,
12800,196.0,616.0,860.0,,,,,,,,,
12900,228.0,596.0,796.0,,,,,,,,,
13000,252.0,648.0,736.0,,,,,,,,,
13100,252.0,604.0,728.0,,,,,,,,,
13200,212.0,592.0,768.0,,,,,,,,,
13300,144.0,672.0,936.0,,,,,,,,,
13400,112.0,724.0,808.0,,,,,,,,,
13500,132.0,752.0,720.0,,,,,,,,,
13600,128.0,752.0,756.0,,,,,,,,,
13700,16.0,632.0,812.0,,,,,,,,,
13800,28.0,648.0,660.0,,,,,,,,,
13900,64.0,728.0,612.0,,,,,,,,,
14000,48.0,724.0,556.0,,,,,,,,,
14100,-28.0,660.0,740.0,,,,,,,,,
14200,-304.0,508.0,796.0,,,,,,,,,
14300,-576.0,436.0,768.0,,,,,,,,,
14400,-716.0,436.0,772.0,,,,,,,,,
14500,-756.0,416.0,700.0,,,,,,,,,
14600,-828.0,392.0,636.0,,,,,,,,,
14700,-696.0,424.0,492.0,,,,,,,,,
14800,-816.0,348.0,704.0,,,,,,,,,
14900,-840.0,228.0,676.0,,,,,,,,,
15000,-824.0,284.0,504.0,,,,,,,,,
15100,-808.0,296.0,472.0,,,,,,,,,
15200,-808.0,288.0,456.0,,,,,,,,,
15300,-824.0,300.0,528.0,,,,,,,,,
15400,-852.0,292.0,436.0,,,,,,,,,
15500,-892.0,292.0,472.0,,,,,,,,,
15600,-900.0,284.0,560.0,,,,,,,,,
15700,-896.0,276.0,528.0,,,,,,,,,
15800,-912.0,244.0,524.0,,,,,,,,,
15900,-904.0,268.0,496.0,,,,,,,,,
16000,-860.0,300.0,512.0,,,,,,,,,
16100,-844.0,296.0,504.0,,,,,,,,,
16200,-872.0,332.0,584.0,,,,,,,,,
16300,-884.0,368.0,612.0,,,,,,,,,
16400,-880.0,404.0,616.0,,,,,,,,,
16500,-768.0,436.0,604.0,,,,,,,,,
16600,-696.0,436.0,588.0,,,,,,,,,
16700,-604.0,424.0,624.0,,,,,,,,,
16800,-592.0,432.0,512.0,,,,,,,,,
16900,-592.0,468.0,540.0,,,,,,,,,
17000,-668.0,464.0,620.0,,,,,,,,,
17100,-736.0,436.0,724.0,,,,,,,,,
17200,-772.0,412.0,764.0,,,,,,,,,
17300,-792.0,396.0,620.0,,,,,,,,,
17400,-820.0,348.0,680.0,,,,,,,,,
17500,-836.0,308.0,760.0,,,,,,,,,
17600,-772.0,292.0,756.0,,,,,,,,,
17700,-672.0,296.0,704.0,,,,,,,,,
17800,-592.0,368.0,720.0,,,,,,,,,
17900,-516.0,352.0,648.0,,,,,,,,,
18000,-492.0,316.0,756.0,,,,,,,,,
18100,-512.0,348.0,780.0,,,,,,,,,
18200,-624.0,428.0,684.0,,,,,,,,,
18300,-672.0,392.0,740.0,,,,,,,,,
18400,-672.0,380.0,680.0,,,,,,,,,
18500,-712.0,384.0,560.0,,,,,,,,,
18600,-736.0,416.0,612.0,,,,,,,,,
18700,-748.0,456.0,544.0,,,,,,,,,
18800,-740.0,396.0,660.0,,,,,,,,,
18900,-752.0,292.0,584.0,,,,,,,,,
19000,-748.0,256.0,540.0,,,,,,,,,
19100,-784.0,288.0,660.0,,,,,,,,,
19200,-820.0,292.0,556.0,,,,,,,,,
19300,-836.0,264.0,544.0,,,,,,,,,
19400,-824.0,224.0,536.0,,,,,,,,,
19500,-848.0,212.0,516.0,,,,,,,,,
19600,-904.0,220.0,500.0,,,,,,,,,
19700,-896.0,236.0,528.0,,,,,,,,,
19800,-880.0,260.0,520.0,,,,,,,,,
19900,-876.0,240.0,484.0,,,,,,,,,
20000,-888.0,204.0,500.0,,,,,,,,,
20100,-880.0,256.0,484.0,,,,,,,,,
20200,-872.0,256.0,520.0,,,,,,,,,
20300,-876.0,252.0,504.0,,,,,,,,,
20400,-892.0,240.0,464.0,,,,,,,,,
20500,-872.0,252.0,476.0,,,,,,,,,
20600,-848.0,288.0,572.0,,,,,,,,,
20700,-940.0,236.0,480.0,,,,,,,,,
20800,-916.0,236.0,480.0,,,,,,,,,
20900,-884.0,264.0,528.0,,,,,,,,,
21000,-860.0,232.0,520.0,,,,,,,,,
21100,-848.0,240.0,552.0,,,,,,,,,
21200,-868.0,248.0,496.0,,,,,,,,,
21300,-860.0,276.0,532.0,,,,,,,,,
21400,-840.0,276.0,532.0,,,,,,,,,
21500,-880.0,216.0,500.0,,,,,,,,,
21600,-852.0,304.0,556.0,,,,,,,,,
21700,-812.0,336.0,532.0,,,,,,,,,
21800,-832.0,332.0,484.0,,,,,,,,,
21900,-800.0,364.0,532.0,,,,,,,,,
22000,-812.0,340.0,504.0,,,,,,,,,
22100,-820.0,308.0,512.0,,,,,,,,,
22200,-820.0,284.0,544.0,,,,,,,,,
22300,-836.0,280.0,544.0,,,,,,,,,
22400,-860.0,300.0,656.0,,,,,,,,,
22500,-852.0,336.0,620.0,,,,,,,,,
22600,-840.0,324.0,556.0,,,,,,,,,
22700,-796.0,268.0,552.0,,,,,,,,,
22800,-812.0,260.0,488.0,,,,,,,,,
22900,-812.0,332.0,592.0,,,,,,,,,
23000,-796.0,344.0,596.0,,,,,,,,,
23100,-808.0,292.0,500.0,,,,,,,,,
23200,-832.0,228.0,580.0,,,,,,,,,
23300,-816.0,276.0,616.0,,,,,,,,,
23400,-832.0,304.0,572.0,,,,,,,,,
23500,-828.0,252.0,584.0,,,,,,,,,
23600,-848.0,236.0,560.0,,,,,,,,,
23700,-832.0,276.0,640.0,,,,,,,,,
23800,-872.0,288.0,516.0,,,,,,,,,
23900,-840.0,332.0,620.0,,,,,,,,,
24000,-796.0,396.0,656.0,,,,,,,,,
24100,-784.0,336.0,512.0,,,,,,,,,
24200,-692.0,336.0,636.0,,,,,,,,,
24300,-712.0,332.0,644.0,,,,,,,,,
24400,-712.0,400.0,620.0,,,,,,,,,
24500,-704.0,456.0,644.0,,,,,,,,,
24600,-704.0,420.0,656.0,,,,,,,,,
24700,-684.0,396.0,708.0,,,,,,,,,
24800,-680.0,424.0,704.0,,,,,,,,,
24900,-676.0,404.0,684.0,,,,,,,,,
25000,-680.0,396.0,692.0,,,,,,,,,
25100,-680.0,468.0,728.0,,,,,,,,,
25200,-696.0,512.0,668.0,,,,,,,,,
25300,-660.0,476.0,664.0,,,,,,,,,
25400,-616.0,412.0,692.0,,,,,,,,,
25500,-540.0,428.0,760.0,,,,,,,,,
25600,-500.0,504.0,740.0,,,,,,,,,
25700,-492.0,560.0,700.0,,,,,,,,,
25800,-472.0,548.0,720.0,,,,,,,,,
25900,-476.0,556.0,948.0,,,,,,,,,
26000,-500.0,540.0,744.0,,,,,,,,,
26100,-448.0,556.0,676.0,,,,,,,,,
26200,-448.0,540.0,680.0,,,,,,,,,
26300,-392.0,596.0,868.0,,,,,,,,,
26400,-396.0,588.0,772.0,,,,,,,,,
26500,-400.0,556.0,764.0,,,,,,,,,
26600,-348.0,572.0,844.0,,,,,,,,,
26700,-284.0,548.0,804.0,,,,,,,,,
26800,-348.0,568.0,820.0,,,,,,,,,
26900,-332.0,552.0,900.0,,,,,,,,,
27000,-296.0,492.0,884.0,,,,,,,,,
27100,-328.0,436.0,800.0,,,,,,,,,
27200,-324.0,500.0,860.0,,,,,,,,,
27300,-320.0,516.0,876.0,,,,,,,,,
27400,-324.0,496.0,920.0,,,,,,,,,
27500,-396.0,480.0,888.0,,,,,,,,,
27600,-448.0,504.0,892.0,,,,,,,,,
27700,-444.0,600.0,900.0,,,,,,,,,
27800,-432.0,608.0,836.0,,,,,,,,,
27900,-364.0,612.0,824.0,,,,,,,,,
28000,-284.0,620.0,780.0,,,,,,,,,
28100,-192.0,620.0,756.0,,,,,,,,,
28200,-180.0,656.0,668.0,,,,,,,,,
28300,-128.0,688.0,736.0,,,,,,,,,
28400,-116.0,680.0,760.0,,,,,,,,,
28500,-140.0,696.0,744.0,,,,,,,,,
28600,-100.0,692.0,848.0,,,,,,,,,
28700,-56.0,712.0,824.0,,,,,,,,,
28800,-44.0,728.0,748.0,,,,,,,,,
28900,-20.0,740.0,720.0,,,,,,,,,
29000,4.0,732.0,812.0,,,,,,,,,
29100,36.0,704.0,864.0,,,,,,,,,
29200,44.0,668.0,844.0,,,,,,,,,
29300,68.0,680.0,904.0,,,,,,,,,
29400,80.0,672.0,836.0,,,,,,,,,
29500,124.0,660.0,772.0,,,,,,,,,
29600,184.0,620.0,800.0,,,,,,,,,
29700,228.0,584.0,780.0,,,,,,,,,
29800,244.0,580.0,768.0,,,,,,,,,
29900,260.0,612.0,808.0,,,,,,,,,
30000,272.0,612.0,804.0,,,,,,,,,
30100,280.0,616.0,760.0,,,,,,,,,
30200,288.0,632.0,756.0,,,,,,,,,
30300,296.0,644.0,772.0,,,,,,,,,
30400,284.0,640.0,768.0,,,,,,,,,
30500,284.0,660.0,772.0,,,,,,,,,
30600,284.0,664.0,776.0,,,,,,,,,
30700,284.0,664.0,780.0,,,,,,,,,
30800,276.0,652.0,764.0,,,,,,,,,
30900,276.0,656.0,760.0,,,,,,,,,
31000,284.0,664.0,792.0,,,,,,,,,
31100,284.0,664.0,784.0,,,,,,,,,
31200,284.0,656.0,756.0,,,,,,,,,
31300,284.0,656.0,772.0,,,,,,,,,
31400,280.0,664.0,780.0,,,,,,,,,
31500,280.0,672.0,784.0,,,,,,,,,
31600,276.0,660.0,768.0,,,,,,,,,
31700,272.0,656.0,760.0,,,,,,,,,
31800,276.0,660.0,784.0,,,,,,,,,
31900,280.0,660.0,764.0,,,,,,,,,
32000,272.0,656.0,764.0,,,,,,,,,
32100,276.0,664.0,788.0,,,,,,,,,
32200,280.0,668.0,788.0,,,,,,,,,
32300,280.0,668.0,776.0,,,,,,,,,
32400,280.0,664.0,776.0,,,,,,,,,
32500,280.0,656.0,772.0,,,,,,,,,
32600,272.0,656.0,780.0,,,,,,,,,
32700,272.0,664.0,784.0,,,,,,,,,
32800,272.0,668.0,780.0,,,,,,,,,
32900,268.0,664.0,772.0,,,,,,,,,
33000,272.0,656.0,772.0,,,,,,,,,
33100,284.0,656.0,792.0,,,,,,,,,
33200,292.0,652.0,760.0,,,,,,,,,
33300,296.0,656.0,752.0,,,,,,,,,
33400,296.0,652.0,760.0,,,,,,,,,
33500,300.0,656.0,768.0,,,,,,,,,
33600,336.0,652.0,780.0,,,,,,,,,
33700,336.0,664.0,740.0,,,,,,,,,
33800,344.0,608.0,764.0,,,,,,,,,
33900,344.0,592.0,760.0,,,,,,,,,
34000,352.0,628.0,768.0,,,,,,,,,
34100,340.0,612.0,780.0,,,,,,,,,
34200,304.0,604.0,848.0,,,,,,,,,
34300,284.0,600.0,812.0,,,,,,,,,
34400,292.0,600.0,808.0,,,,,,,,,
34500,272.0,604.0,844.0,,,,,,,,,
34600,248.0,584.0,856.0,,,,,,,,,
34700,240.0,584.0,840.0,,,,,,,,,
34800,220.0,564.0,876.0,,,,,,,,,
34900,224.0,532.0,884.0,,,,,,,,,
35000,216.0,568.0,836.0,,,,,,,,,
35100,220.0,572.0,816.0,,,,,,,,,
35200,240.0,584.0,812.0,,,,,,,,,
35300,248.0,600.0,792.0,,,,,,,,,
35400,260.0,592.0,768.0,,,,,,,,,
35500,248.0,672.0,776.0,,,,,,,,,
35600,236.0,736.0,796.0,,,,,,,,,
35700,212.0,700.0,820.0,,,,,,,,,
35800,200.0,648.0,828.0,,,,,,,,,
35900,156.0,640.0,836.0,,,,,,,,,
36000,156.0,616.0,856.0,,,,,,,,,
36100,148.0,628.0,892.0,,,,,,,,,
36200,140.0,592.0,876.0,,,,,,,,,
36300,136.0,616.0,872.0,,,,,,,,,
36400,148.0,628.0,884.0,,,,,,,,,
36500,180.0,608.0,868.0,,,,,,,,,
