timestamp,BNO055_AX,BNO055_AY,BNO055_AZ,BNO055_GX,BNO055_GY,BNO055_GZ,MPU9250_AX,MPU9250_AY,MPU9250_AZ,MPU9250_GX,MPU9250_GY,MPU9250_GZ
0,2.11655,-3.4382,-9.19406,0.85449,8.36182,-22.33887,1.78614,-4.22352,-10.51571,29.23584,11.41357,34.30176
100,-0.17239,-3.48608,-9.11745,0.48828,8.78906,-22.03369,-0.37351,-2.9737,-9.70644,26.97754,26.48926,29.11377
200,1.15883,-3.42862,-9.3473,0.48828,9.46045,-21.24023,0.98645,-3.36637,-10.28586,11.47461,4.57764,-23.98682
300,1.35996,-3.96494,-8.9259,-0.18311,9.46045,-22.03369,1.19714,-4.16127,-9.58194,-8.05664,11.53564,-36.31592
400,2.92103,-2.94976,-8.08311,-1.2207,9.82666,-22.03369,2.73906,-3.40946,-9.10308,-17.27295,7.69043,-32.04346
500,3.82128,-2.33682,-8.14058,-1.64795,9.15527,-22.46094,3.7303,-2.87793,-8.95463,-1.2207,21.24023,8.30078
600,0.65125,-2.96892,-8.52366,-2.19727,9.46045,-22.03369,0.55547,-2.54273,-9.35209,-12.93945,11.90186,16.90674
700,0.2107,-2.19317,-7.9203,-1.52588,8.36182,-22.46094,-0.04789,-1.676,-8.74394,-28.25928,-2.38037,-39.48975
800,1.93458,-3.53397,-8.73436,-2.19727,7.69043,-23.92578,1.66642,-3.63932,-9.72081,-5.67627,-3.05176,-63.23242
900,3.41904,-3.70636,-8.95463,-3.2959,7.69043,-23.49854,3.28496,-4.6928,-9.92671,4.76074,5.37109,-47.24121
1000,2.46133,-2.94976,-7.65214,-3.96729,7.8125,-22.64404,2.19317,-3.58664,-8.57634,19.16504,7.75146,8.48389
1100,2.66245,-5.05673,-10.33374,-4.63867,7.01904,-22.33887,2.53316,-5.5739,-11.26273,9.82666,-0.79346,29.96826
1200,1.26418,-4.18521,-9.24195,-3.479,8.8501,-22.2168,1.0487,-4.33366,-10.12305,-2.0752,-18.12744,29.05273
1300,-1.02475,-4.16606,-8.45662,-3.17383,8.48389,-22.2168,-1.36474,-4.21395,-9.27547,6.71387,-16.78467,7.62939
1400,-1.32165,-3.352,-8.76309,-1.46484,8.48389,-23.01025,-1.64248,-3.07905,-9.85489,-14.89258,-7.44629,-27.64893
1500,0.97687,-2.63372,-8.09269,-2.13623,8.17871,-23.4375,0.73265,-3.01201,-9.22279,-31.25,9.27734,-31.67725
1600,3.49566,-2.4326,-7.28821,-2.80762,7.38525,-23.01025,3.25623,-3.38552,-7.78143,10.19287,19.28711,-12.87842
1700,1.05349,-3.85959,-9.45265,-3.90625,8.17871,-23.01025,0.99602,-3.97931,-10.13262,48.15674,-2.38037,48.21777
1800,-1.05349,-3.64889,-9.03125,-2.80762,9.94873,-22.33887,-1.29292,-2.94976,-9.85489,16.29639,-7.50732,4.63867
1900,0.85237,-3.97452,-10.54444,-2.13623,9.94873,-22.2168,0.86194,-4.28577,-11.77032,-10.19287,9.64355,-37.78076
2000,2.5571,-3.66805,-10.19966,-2.80762,9.94873,-21.97266,2.3033,-3.96494,-10.6881,-34.17969,8.23975,-22.33887
2100,2.38471,-2.58583,-7.53722,-4.27246,8.8501,-22.64404,2.83005,-3.08384,-8.8445,-6.28662,26.24512,-3.35693
2200,4.4438,-2.0112,-7.92988,-4.63867,7.38525,-22.64404,4.07987,-2.15965,-8.131,3.11279,23.01025,36.01074
2300,1.85797,-1.69516,-8.131,-5.7373,7.8125,-23.80371,0.77096,-1.52277,-8.9259,9.09424,3.2959,31.43311
2400,-0.98645,-2.64329,-8.98337,-4.88281,8.8501,-21.85059,-0.78054,-2.14049,-9.83094,12.51221,-8.54492,-45.8374
2500,2.0112,-2.95934,-8.5907,-5.24902,8.8501,-23.01025,2.86357,-3.39989,-10.38642,24.78027,-0.06104,-75.25635
2600,4.42464,-2.54752,-8.24592,-7.38525,8.48389,-23.4375,3.95536,-3.50045,-8.99294,29.60205,10.0708,-15.38086
2700,2.67202,-3.03596,-10.3529,-7.8125,9.52148,-20.75195,2.21711,-3.76382,-11.57398,20.56885,-14.09912,23.37646
2800,0.99602,-3.54354,-10.39121,-6.71387,10.74219,-21.1792,0.76138,-3.3951,-11.30104,-15.19775,-22.64404,15.86914
2900,0.07662,-2.5571,-8.81098,-4.88281,10.31494,-21.97266,-0.49801,-2.25542,-9.61546,1.0376,-12.39014,1.70898
3000,-0.94814,-2.03036,-8.76309,-3.90625,10.00977,-21.1792,-1.26418,-1.74304,-9.57715,-10.43701,-12.69531,-30.57861
3100,1.3408,-0.90025,-8.43747,-3.78418,10.00977,-21.97266,1.53234,-1.57544,-9.45743,-19.65332,2.92969,-38.26904
3200,2.32725,-0.78533,-7.38398,-5.61523,8.54492,-23.01025,2.16444,-1.41263,-8.38479,15.93018,11.2915,2.80762
3300,1.87712,-2.48048,-9.36645,-5.24902,9.64355,-21.97266,1.37432,-2.81568,-10.4774,46.69189,5.98145,29.84619
3400,-0.83321,-2.82526,-8.83971,-5.24902,10.31494,-21.54541,-1.31207,-2.11176,-9.52926,33.44727,7.14111,13.06152
3500,0.66082,-2.03036,-10.73598,-5.24902,11.47461,-20.38574,1.12053,-2.21711,-12.69451,-15.38086,-0.97656,-26.18408
3600,2.91145,-2.64329,-10.89879,-5.61523,11.1084,-20.75195,2.59062,-3.07905,-11.8182,-36.56006,7.50732,-15.86914
3700,1.35038,-1.41742,-8.15973,-6.34766,10.31494,-22.64404,1.26897,-1.51319,-8.80619,-18.79883,18.31055,0.48828
3800,4.60661,-0.23943,-7.64256,-7.01904,10.31494,-21.85059,4.59703,-0.80927,-8.32733,2.01416,40.22217,34.79004
3900,2.37513,-0.83321,-8.41831,-8.17871,9.27734,-21.05713,1.49882,-0.38787,-8.88281,8.17871,-0.97656,33.44727
4000,-0.35435,-1.95374,-9.24195,-6.71387,10.74219,-21.48438,-0.79011,-1.83402,-10.23797,12.57324,-16.54053,-17.27295
4100,1.27376,-2.75822,-9.66334,-7.01904,9.76562,-21.85059,1.70473,-2.90188,-10.93231,24.59717,-18.43262,-51.02539
4200,3.6872,-2.0974,-8.0448,-6.34766,11.23047,-21.48438,3.44298,-2.71512,-8.88281,14.95361,-0.42725,-22.2168
4300,3.20834,-1.7622,-10.62106,-8.17871,10.43701,-21.05713,2.91145,-2.10218,-11.84693,8.72803,-7.32422,37.47559
4400,1.7622,-2.28894,-10.48698,-6.34766,11.59668,-20.26367,1.51319,-2.72949,-11.23878,-30.70068,-12.45117,33.93555
4500,0.0,-1.89628,-9.2611,-5.61523,10.43701,-22.2168,-0.67998,-1.41742,-9.84531,-16.54053,-16.60156,33.02002
